fxx,cloud_top_hrrr,boundary_layer_cloud_layer,low_cloud_layer_percent_hrrr,middle_cloud_layer_percent_hrrr,high_cloud_layer_percent_hrrr,cloud_ceiling_m_hrrr,cloud_base_m_hrrr,cloud_top_pres_hrrr,cloud_base_pres_hrrr,cloud_top_hgt_hrrr,wind_10m_day_max_hrrr,tmp_500mb_hrrr,tmp_700mb_hrrr,tmp_850mb_hrrr,tmp_925mb_hrrr,tmp_1000mb_hrrr,hgt_500mb_hrrr,hgt_700mb_hrrr,hgt_850mb_hrrr,hgt_925mb_hrrr,hgt_1000mb_hrrr,tmp_2m_hrrr,rh_2m_hrrr,hpbl_surface_hrrr,hgt_0C_iso_hrrr,vis_surface_hrrr,prate_surface_hrrr,apcp_surface_hrrr,cloud_ceiling_gfs,low_cloud_layer_percent_gfs,middle_cloud_layer_percent_gfs,high_cloud_layer_percent_gfs,boundary_layer_cloud_layer_gfs,vis_surface_gfs,prate_surface_gfs,apcp_surface_gfs,tmp_500mb_gfs,tmp_700mb_gfs,tmp_850mb_gfs,tmp_925mb_gfs,tmp_1000mb_gfs,hgt_500mb_gfs,hgt_700mb_gfs,hgt_850mb_gfs,hgt_925mb_gfs,hgt_1000mb_gfs,tmp_2m_gfs,rh_2m_gfs,rh_925mb_gfs,hpbl_surface_gfs,hgt_0C_iso_gfs,cloud_ceiling_nam,low_cloud_layer_percent_nam,middle_cloud_layer_percent_nam,high_cloud_layer_percent_nam,boundary_layer_cloud_layer_nam,vis_surface_nam,tmp_500mb_nam,tmp_700mb_nam,tmp_850mb_nam,tmp_925mb_nam,tmp_1000mb_nam,hgt_500mb_nam,hgt_700mb_nam,hgt_850mb_nam,hgt_925mb_nam,hgt_1000mb_nam,tmp_2m_nam,rh_2m_nam,rh_925mb_nam,hpbl_surface_nam,hgt_0C_iso_nam,prate_surface_nam,apcp_surface_nam,cloud_ceiling_m_rap,low_cloud_layer_percent_rap,middle_cloud_layer_percent_rap,high_cloud_layer_percent_rap,boundary_layer_cloud_layer_rap,vis_surface_rap,tmp_500mb_rap,tmp_700mb_rap,tmp_850mb_rap,tmp_925mb_rap,tmp_1000mb_rap,hgt_500mb_rap,hgt_700mb_rap,hgt_850mb_rap,hgt_925mb_rap,hgt_1000mb_rap,tmp_2m_rap,rh_2m_rap,rh_925mb_rap,hpbl_surface_rap,hgt_0C_iso_rap,prate_surface_rap,apcp_surface_rap,hgt_500mb_ecmwf,hgt_700mb_ecmwf,hgt_850mb_ecmwf,hgt_925mb_ecmwf,hgt_1000mb_ecmwf,tmp_500mb_ecmwf,tmp_700mb_ecmwf,tmp_850mb_ecmwf,tmp_925mb_ecmwf,tmp_1000mb_ecmwf,rh_700mb_ecmwf,rh_850mb_ecmwf,rh_925mb_ecmwf,rh_1000mb_ecmwf,vvel_700mb_ecmwf,vvel_850mb_ecmwf,vvel_925mb_ecmwf,tmp_2m_ecmwf,dpt_2m_ecmwf,mslp_ecmwf,sp_surface_ecmwf,cape_ecmwf,tcwv_ecmwf,tcdc_surface_nbm,tcdc_high_cloud_nbm,cdcb_high_cloud_nbm,cloud_ceiling_m_nbm,cloud_base_m_nbm,vis_surface_nbm,ceil_prob_below_152m_nbm,ceil_prob_below_305m_nbm,ceil_prob_below_610m_nbm,ceil_prob_below_914m_nbm,ceil_prob_below_2012m_nbm,vis_prob_below_1609m_nbm,vis_prob_below_3219m_nbm,vis_prob_below_4828m_nbm,vis_prob_below_8047m_nbm,cape_surface_nbm,mixing_height_nbm,tmp_2m_nbm,dpt_2m_nbm,rh_2m_nbm,apcp_surface_nbm,wind_10m_nbm,gust_surface_nbm,is_undercast
1,-999.0,0.0,0.0,0.0,0.0,nan,1344.6630859375,nan,86600.0,nan,6.984762668609619,266.773193359375,281.8516845703125,285.8816223144531,288.8336181640625,293.1338195800781,5824.06396484375,3123.79345703125,1502.543701171875,,109.1212387084961,284.97607421875,78.5999984741211,166.43040466308594,4609.35009765625,18700.0,0.0,0.0,20000.154296875,0.0,0.0,0.30000001192092896,,24135.216796875,0.0,0.0,263.6755676269531,282.140869140625,293.7483215332031,300.3157653808594,297.2225341796875,5902.03857421875,3215.098388671875,1575.8062744140625,837.17333984375,146.34983825683594,295.9490051269531,54.400001525878906,33.29999923706055,17.412914276123047,4533.759765625,20000.0390625,21.0,0.0,0.0,,24100.0,267.0,283.20001220703125,285.3999938964844,288.0,292.29998779296875,5831.49072265625,3128.4990234375,1502.02392578125,790.4329223632812,122.69303131103516,285.3299865722656,93.9000015258789,96.0,265.6000061035156,4658.240234375,0.0,0.25,nan,64.0,0.0,0.0,33.0,13700.0,267.05755615234375,282.271240234375,284.99346923828125,288.67877197265625,293.2026062011719,5833.56787109375,3133.361083984375,1509.0947265625,796.4765625,119.70978546142578,288.10443115234375,90.24038696289062,85.8636703491211,397.40997314453125,4550.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,52.0,0.0,7620.0,0.0,0.0,209.0,56.0,67.0,70.0,72.0,74.0,72.0,72.0,72.0,72.0,2.0,0.0,281.80999755859375,281.09002685546875,96.0,3.0,12.0,13.0,0
2,-999.0,0.0,0.0,0.0,0.0,nan,1344.81787109375,nan,86600.0,nan,6.879617691040039,266.947509765625,281.728515625,286.5487365722656,289.0357971191406,293.24560546875,5823.8251953125,3124.45166015625,1501.935791015625,,108.20135498046875,284.947265625,72.30000305175781,188.4732666015625,4587.9580078125,21900.0,0.0,0.0,20000.15625,0.0,0.0,0.4000000059604645,,24135.138671875,0.0,0.0,263.6048889160156,281.8826599121094,293.630126953125,300.1001281738281,296.5801086425781,5898.19189453125,3210.701904296875,1572.6688232421875,834.4967041015625,144.46556091308594,295.3153381347656,57.0,33.79999923706055,13.320992469787598,4570.72021484375,19999.994140625,21.0,0.0,0.0,,24100.0,266.79998779296875,282.8999938964844,286.5,288.0,292.29998779296875,5839.43408203125,3139.37158203125,1512.9573974609375,800.6959228515625,134.0847625732422,285.4200134277344,93.5,96.0,266.239990234375,4590.39990234375,0.0,0.5,nan,33.0,0.0,0.0,31.0,13600.0,266.978759765625,281.9422302246094,286.22796630859375,288.5379638671875,292.95367431640625,5837.08642578125,3140.410888671875,1514.5030517578125,801.036376953125,125.18876647949219,287.3974609375,89.24038696289062,85.76860809326172,239.6634979248047,4460.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,39.0,0.0,7620.0,0.0,0.0,256.0,70.0,74.0,74.0,74.0,77.0,71.0,71.0,71.0,71.0,1.0,0.0,282.1199951171875,281.42999267578125,95.0,3.0,11.199999809265137,12.100000381469727,0
3,-999.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,5.595037937164307,266.51214599609375,281.57391357421875,286.98223876953125,289.1883544921875,293.3104248046875,5827.177734375,3131.36181640625,1507.69091796875,,113.74177551269531,285.1043701171875,67.69999694824219,154.68948364257812,4535.59326171875,24900.0,0.0,0.0,20000.1640625,0.0,0.5,1.2999999523162842,,24135.1171875,0.0,0.0,263.3192443847656,281.7479553222656,293.71795654296875,299.97943115234375,296.5089111328125,5892.970703125,3208.30859375,1569.2410888671875,831.2286376953125,141.6614990234375,294.94830322265625,58.79999923706055,34.0,10.839699745178223,4534.39990234375,19999.98046875,21.0,0.0,0.0,,24100.0,266.5,282.6000061035156,286.5,288.0,292.29998779296875,5839.08349609375,3141.798828125,1517.6646728515625,805.2085571289062,139.12747192382812,285.34002685546875,93.5,96.0,225.75999450683594,4536.7998046875,0.0,0.6875,nan,24.0,0.0,0.0,24.0,13400.0,266.56280517578125,281.67620849609375,286.5872802734375,288.5445251464844,292.69183349609375,5833.1845703125,3140.44140625,1515.39013671875,801.396484375,126.03870391845703,287.03753662109375,89.0,86.40948486328125,201.480224609375,4390.0,0.0,0.0,5838.23046875,3140.033935546875,1512.915283203125,800.150634765625,138.37060546875,266.90234375,281.89044189453125,285.4934387207031,288.3663330078125,292.78948974609375,33.60760498046875,75.191650390625,88.68042755126953,95.00304412841797,-0.2637004852294922,0.43892574310302734,0.43288230895996094,285.4512939453125,285.1700439453125,101678.4375,92069.53125,,18.001073837280273,32.0,0.0,7620.0,0.0,0.0,0.0,76.0,80.0,80.0,80.0,82.0,65.0,65.0,65.0,65.0,1.0,0.0,282.0299987792969,281.39996337890625,96.0,2.0,10.800000190734863,11.600000381469727,0
4,-999.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,4.6649603843688965,266.14569091796875,281.2865905761719,286.99114990234375,289.2320556640625,293.38330078125,5831.7705078125,3139.1142578125,1515.978515625,,122.534423828125,284.92572021484375,70.19999694824219,103.81459045410156,4483.03564453125,23200.0,0.0,0.0,20000.15625,0.0,5.0,0.0,,24135.158203125,0.0,0.0,263.313232421875,281.5015869140625,293.6141357421875,299.7890625,296.0215759277344,5889.8486328125,3206.733154296875,1567.7579345703125,830.0596313476562,142.11378479003906,294.54901123046875,60.0,34.400001525878906,10.765863418579102,4438.080078125,19999.97265625,31.0,0.0,0.0,,24100.0,266.1000061035156,282.1000061035156,286.20001220703125,287.8999938964844,292.20001220703125,5834.50341796875,3139.2333984375,1515.1483154296875,802.7354125976562,136.94544982910156,285.3600158691406,94.80000305175781,98.0,186.0,4487.68017578125,0.0,0.25,nan,13.0,0.0,0.0,13.0,13100.0,266.1121826171875,281.33319091796875,286.7509765625,288.47088623046875,292.4396667480469,5826.11083984375,3135.939208984375,1511.98193359375,797.6149291992188,122.62046813964844,286.70770263671875,89.0,85.80989074707031,177.92385864257812,4350.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.0,7620.0,0.0,0.0,0.0,71.0,74.0,74.0,74.0,77.0,67.0,67.0,67.0,67.0,1.0,0.0,281.989990234375,281.0,93.0,2.0,10.0,10.800000190734863,0
5,-999.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,4.193011283874512,266.1509704589844,281.059326171875,287.0566101074219,289.2510986328125,293.3680419921875,5823.427734375,3131.86865234375,1509.13232421875,,116.1285171508789,284.8284606933594,65.9000015258789,94.03045654296875,4457.61572265625,26200.0,0.0,0.0,20000.142578125,0.0,0.0,0.0,,24135.33203125,0.0,0.0,263.3922119140625,281.3296813964844,293.51873779296875,299.5687561035156,295.7447509765625,5887.89208984375,3206.299560546875,1567.296142578125,829.9097290039062,142.84130859375,294.62548828125,61.599998474121094,35.0,10.778637886047363,4371.0400390625,19999.970703125,31.0,0.0,0.0,,24100.0,266.0,281.70001220703125,286.0,287.6000061035156,291.8999938964844,5831.9873046875,3138.185302734375,1513.0374755859375,801.0029296875,135.8052215576172,284.989990234375,95.0999984741211,97.0,266.6400146484375,4446.080078125,0.0,0.4375,nan,8.0,0.0,4.0,8.0,13100.0,266.12249755859375,281.09259033203125,287.198974609375,288.5473327636719,292.3226318359375,5829.20263671875,3137.82421875,1513.4981689453125,798.4440307617188,124.22622680664062,286.43585205078125,88.01614379882812,83.78407287597656,153.34112548828125,4410.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,25.0,0.0,7620.0,0.0,0.0,209.0,74.0,75.0,75.0,75.0,77.0,78.0,78.0,78.0,78.0,1.0,0.0,281.96002197265625,280.95001220703125,93.0,3.0,10.0,10.800000190734863,0
6,-999.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,3.8031067848205566,265.89495849609375,280.7381591796875,286.9132080078125,289.31494140625,293.44793701171875,5827.73828125,3137.77197265625,1515.99462890625,,123.93460083007812,284.50848388671875,66.4000015258789,89.11824035644531,4463.61181640625,25800.0,0.0,0.0,20000.12109375,0.0,0.0,0.0,,24135.078125,0.0,0.0,263.4308776855469,281.269287109375,293.4848327636719,299.49285888671875,297.23583984375,5887.908203125,3208.117431640625,1568.72265625,831.4883422851562,144.24969482421875,297.32550048828125,55.599998474121094,34.900001525878906,49.65867614746094,4266.72021484375,19999.99609375,33.0,0.0,0.0,,24100.0,266.29998779296875,281.6000061035156,286.3999938964844,288.29998779296875,292.70001220703125,5833.63330078125,3138.972900390625,1512.66943359375,798.8452758789062,136.0013885498047,284.71002197265625,94.4000015258789,92.0,226.0800018310547,4448.9599609375,0.0,0.5,nan,10.0,0.0,29.0,10.0,12900.0,266.03363037109375,280.683837890625,287.4491882324219,288.56488037109375,292.1507263183594,5829.611328125,3139.646728515625,1515.83642578125,800.4208984375,126.66285705566406,286.20684814453125,88.0,82.44135284423828,150.9551544189453,4410.0,0.0,0.0,5832.1484375,3139.33349609375,1513.21044921875,799.2528076171875,138.038818359375,266.95013427734375,281.0974426269531,286.299560546875,288.33673095703125,292.6002502441406,41.837684631347656,60.604248046875,86.09111022949219,96.41459655761719,-0.06289100646972656,0.3121328353881836,0.42368412017822266,284.6426696777344,284.2989196777344,101662.4375,92062.96875,,17.401660919189453,25.0,0.0,7620.0,0.0,0.0,209.0,76.0,77.0,77.0,78.0,81.0,82.0,82.0,82.0,82.0,1.0,0.0,281.96002197265625,280.32000732421875,87.0,3.0,10.0,10.399999618530273,0
7,-999.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,4.263162136077881,265.5495910644531,280.269775390625,287.10113525390625,289.2258605957031,293.30267333984375,5827.990234375,3141.344970703125,1520.5408935546875,,129.1333770751953,284.781982421875,64.0999984741211,94.26038360595703,4364.1904296875,27300.0,0.0,0.0,20000.11328125,0.0,0.0,0.0,,24134.986328125,0.0,0.0,263.35821533203125,281.26409912109375,293.4670715332031,299.47705078125,300.20989990234375,5888.65869140625,3209.414306640625,1570.0223388671875,832.8661499023438,144.94203186035156,300.8987121582031,44.70000076293945,34.79999923706055,170.93226623535156,4296.0,19999.84765625,29.0,0.0,0.0,,24100.0,266.70001220703125,281.5,286.8999938964844,289.20001220703125,293.6000061035156,5835.01806640625,3140.37744140625,1512.8861083984375,797.23779296875,136.54153442382812,284.6199951171875,92.5,87.0,72.55999755859375,4412.9599609375,0.0,0.0625,nan,13.0,0.0,2.0,13.0,13100.0,265.86376953125,280.37420654296875,287.774658203125,288.61297607421875,292.024658203125,5829.2373046875,3140.383056640625,1516.510498046875,800.3967895507812,127.14639282226562,285.98858642578125,87.37911224365234,80.76653289794922,143.92681884765625,4400.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,22.0,0.0,7620.0,30.0,32.0,209.0,72.0,75.0,76.0,77.0,79.0,85.0,85.0,85.0,85.0,0.0,0.0,282.1499938964844,279.5199890136719,84.0,3.0,9.199999809265137,9.600000381469727,0
8,-999.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,4.266257286071777,265.85906982421875,280.23468017578125,287.4443359375,289.5321044921875,293.5627746582031,5828.1328125,3139.4931640625,1517.874267578125,,125.87620544433594,284.7580871582031,63.400001525878906,94.15362548828125,4401.33544921875,27900.0,0.0,0.0,20000.10546875,0.0,0.0,0.0,,24134.916015625,0.0,0.0,263.12066650390625,281.2710876464844,293.5101013183594,299.41912841796875,302.7823791503906,5889.037109375,3211.067138671875,1571.6876220703125,834.5687255859375,145.57937622070312,304.2098083496094,37.0,35.0,385.9697570800781,4335.52001953125,19999.892578125,33.0,0.0,0.0,,24100.0,267.20001220703125,281.1000061035156,287.29998779296875,290.20001220703125,294.5,5833.60205078125,3138.692138671875,1511.15771484375,794.1763916015625,135.73887634277344,284.75,92.5999984741211,78.0,186.8000030517578,4403.2001953125,0.0,0.0625,nan,7.0,0.0,0.0,7.0,13600.0,265.9329833984375,280.11639404296875,288.10650634765625,288.8868103027344,292.054931640625,5833.8740234375,3146.852783203125,1523.0833740234375,806.0241088867188,133.2965545654297,285.8570861816406,86.15492248535156,76.48176574707031,106.96526336669922,4350.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,26.0,0.0,7620.0,30.0,32.0,209.0,71.0,72.0,73.0,75.0,80.0,87.0,87.0,87.0,88.0,0.0,0.0,282.5099792480469,280.04998779296875,85.0,3.0,8.399999618530273,9.199999809265137,0
9,-999.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,3.7913146018981934,265.8062438964844,279.8757019042969,287.42572021484375,289.7696533203125,293.7795715332031,5832.43115234375,3146.2939453125,1526.021484375,,134.1512908935547,284.70379638671875,63.599998474121094,93.88111114501953,4360.0234375,27800.0,0.0,0.0,19999.81640625,0.0,0.0,0.0,,24134.9375,0.0,0.0,262.9239501953125,281.2987365722656,293.8941650390625,298.9382019042969,304.9382019042969,5890.43115234375,3213.658447265625,1573.050537109375,835.6884765625,144.19105529785156,307.2749328613281,30.700000762939453,37.599998474121094,644.6068725585938,4274.240234375,20000.029296875,32.0,0.0,0.0,,24100.0,266.8999938964844,280.6000061035156,287.6000061035156,290.70001220703125,295.0,5832.427734375,3139.5830078125,1512.988525390625,795.4228515625,138.2501220703125,284.3299865722656,91.30000305175781,70.0,186.9600067138672,4340.31982421875,0.0,0.0625,nan,2.0,0.0,0.0,2.0,15000.0,266.01708984375,279.802734375,288.40924072265625,289.259033203125,292.2881774902344,5829.876953125,3145.0810546875,1521.3739013671875,803.43115234375,131.19639587402344,285.7882385253906,82.56999206542969,71.60202026367188,95.70547485351562,4280.0,0.0,0.0,5833.54296875,3142.950927734375,1519.0458984375,803.1246337890625,141.220703125,267.20751953125,279.72723388671875,287.79705810546875,288.9046630859375,293.088134765625,50.921810150146484,32.87288284301758,81.35125732421875,95.76625061035156,-0.02154541015625,0.09477996826171875,0.27056407928466797,283.6007080078125,283.1944580078125,101687.5,92104.703125,,16.96485137939453,22.0,0.0,7620.0,30.0,32.0,209.0,51.0,53.0,54.0,55.0,59.0,85.0,85.0,85.0,85.0,0.0,0.0,282.5199890136719,279.42999267578125,83.0,2.0,8.0,8.800000190734863,0
10,-999.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,3.7852911949157715,265.703125,279.4880065917969,287.6658020019531,290.05010986328125,294.0624084472656,5829.18798828125,3145.1025390625,1525.3751220703125,,133.99337768554688,285.2023620605469,62.0,93.5347900390625,4311.86083984375,29900.0,0.0,0.0,20000.1640625,0.0,0.0,0.0,,24135.189453125,0.0,0.0,262.72332763671875,281.4888610839844,293.9796142578125,299.70684814453125,306.9068603515625,5893.77197265625,3217.058349609375,1575.1649169921875,838.0736694335938,142.73866271972656,309.7215270996094,25.299999237060547,36.900001525878906,1369.5703125,4270.39990234375,20000.017578125,29.0,0.0,0.0,,24100.0,266.6000061035156,280.29998779296875,287.70001220703125,291.79998779296875,296.20001220703125,5835.58740234375,3143.772216796875,1518.3682861328125,798.9065551757812,142.89634704589844,286.5899963378906,70.5,60.0,268.6400146484375,4319.2001953125,0.0,0.0,nan,0.0,0.0,0.0,0.0,17400.0,265.8758544921875,279.5650329589844,288.3995361328125,289.624755859375,292.66143798828125,5833.16357421875,3148.218505859375,1525.20166015625,806.8862915039062,134.78277587890625,286.5080871582031,79.30766296386719,67.99121856689453,92.05284118652344,4330.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,25.0,0.0,7620.0,30.0,32.0,0.0,33.0,37.0,38.0,38.0,43.0,72.0,72.0,72.0,72.0,0.0,0.0,282.82000732421875,279.5199890136719,79.0,2.0,7.199999809265137,7.599999904632568,0
