fxx,cloud_top_hrrr,boundary_layer_cloud_layer,low_cloud_layer_percent_hrrr,middle_cloud_layer_percent_hrrr,high_cloud_layer_percent_hrrr,cloud_ceiling_m_hrrr,cloud_base_m_hrrr,cloud_top_pres_hrrr,cloud_base_pres_hrrr,cloud_top_hgt_hrrr,wind_10m_day_max_hrrr,tmp_500mb_hrrr,tmp_700mb_hrrr,tmp_850mb_hrrr,tmp_925mb_hrrr,tmp_1000mb_hrrr,hgt_500mb_hrrr,hgt_700mb_hrrr,hgt_850mb_hrrr,hgt_925mb_hrrr,hgt_1000mb_hrrr,tmp_2m_hrrr,rh_2m_hrrr,hpbl_surface_hrrr,hgt_0C_iso_hrrr,vis_surface_hrrr,prate_surface_hrrr,apcp_surface_hrrr,cloud_ceiling_gfs,low_cloud_layer_percent_gfs,middle_cloud_layer_percent_gfs,high_cloud_layer_percent_gfs,boundary_layer_cloud_layer_gfs,vis_surface_gfs,prate_surface_gfs,apcp_surface_gfs,tmp_500mb_gfs,tmp_700mb_gfs,tmp_850mb_gfs,tmp_925mb_gfs,tmp_1000mb_gfs,hgt_500mb_gfs,hgt_700mb_gfs,hgt_850mb_gfs,hgt_925mb_gfs,hgt_1000mb_gfs,tmp_2m_gfs,rh_2m_gfs,rh_925mb_gfs,hpbl_surface_gfs,hgt_0C_iso_gfs,cloud_ceiling_nam,low_cloud_layer_percent_nam,middle_cloud_layer_percent_nam,high_cloud_layer_percent_nam,boundary_layer_cloud_layer_nam,vis_surface_nam,tmp_500mb_nam,tmp_700mb_nam,tmp_850mb_nam,tmp_925mb_nam,tmp_1000mb_nam,hgt_500mb_nam,hgt_700mb_nam,hgt_850mb_nam,hgt_925mb_nam,hgt_1000mb_nam,tmp_2m_nam,rh_2m_nam,rh_925mb_nam,hpbl_surface_nam,hgt_0C_iso_nam,prate_surface_nam,apcp_surface_nam,cloud_ceiling_m_rap,low_cloud_layer_percent_rap,middle_cloud_layer_percent_rap,high_cloud_layer_percent_rap,boundary_layer_cloud_layer_rap,vis_surface_rap,tmp_500mb_rap,tmp_700mb_rap,tmp_850mb_rap,tmp_925mb_rap,tmp_1000mb_rap,hgt_500mb_rap,hgt_700mb_rap,hgt_850mb_rap,hgt_925mb_rap,hgt_1000mb_rap,tmp_2m_rap,rh_2m_rap,rh_925mb_rap,hpbl_surface_rap,hgt_0C_iso_rap,prate_surface_rap,apcp_surface_rap,hgt_500mb_ecmwf,hgt_700mb_ecmwf,hgt_850mb_ecmwf,hgt_925mb_ecmwf,hgt_1000mb_ecmwf,tmp_500mb_ecmwf,tmp_700mb_ecmwf,tmp_850mb_ecmwf,tmp_925mb_ecmwf,tmp_1000mb_ecmwf,rh_700mb_ecmwf,rh_850mb_ecmwf,rh_925mb_ecmwf,rh_1000mb_ecmwf,vvel_700mb_ecmwf,vvel_850mb_ecmwf,vvel_925mb_ecmwf,tmp_2m_ecmwf,dpt_2m_ecmwf,mslp_ecmwf,sp_surface_ecmwf,cape_ecmwf,tcwv_ecmwf,tcdc_surface_nbm,tcdc_high_cloud_nbm,cdcb_high_cloud_nbm,cloud_ceiling_m_nbm,cloud_base_m_nbm,vis_surface_nbm,ceil_prob_below_152m_nbm,ceil_prob_below_305m_nbm,ceil_prob_below_610m_nbm,ceil_prob_below_914m_nbm,ceil_prob_below_2012m_nbm,vis_prob_below_1609m_nbm,vis_prob_below_3219m_nbm,vis_prob_below_4828m_nbm,vis_prob_below_8047m_nbm,cape_surface_nbm,mixing_height_nbm,tmp_2m_nbm,dpt_2m_nbm,rh_2m_nbm,apcp_surface_nbm,wind_10m_nbm,gust_surface_nbm,is_undercast
1,-999.0,100.0,100.0,100.0,100.0,1344.86767578125,1344.7496337890625,26800.0,85600.0,11235.765625,5.238310813903809,262.8896484375,279.0218505859375,285.6109619140625,288.68438720703125,292.9306640625,5683.73486328125,3011.734130859375,1395.935791015625,,8.258544921875,285.03240966796875,100.0,329.28753662109375,3838.749267578125,0.0,0.0,0.019999999552965164,2987.232177734375,30.899999618530273,97.69999694824219,100.0,,24134.8671875,0.0,1.625,259.7574157714844,278.6576232910156,290.6381530761719,289.6676025390625,290.05816650390625,5812.49853515625,3159.404052734375,1533.9991455078125,812.759033203125,146.57606506347656,289.91912841796875,95.9000015258789,76.69999694824219,134.0647735595703,3882.39990234375,1197.1873779296875,60.0,68.0,83.0,,200.0,264.29998779296875,279.6000061035156,285.20001220703125,289.20001220703125,293.5,5683.53173828125,2997.922607421875,1386.6187744140625,671.78955078125,5.474773406982422,285.8700256347656,100.0,100.0,263.20001220703125,4096.0,0.0010000000474974513,3.5625,860.313232421875,95.0,100.0,89.0,95.0,6000.0,263.3017578125,278.5914306640625,285.448486328125,288.8145446777344,293.04937744140625,5682.72900390625,3006.67626953125,1393.7647705078125,678.7476806640625,7.5762176513671875,288.4071960449219,97.0,96.89073181152344,387.105224609375,3890.0,0.0,0.0625,,,,,,,,,,,,,,,,,,,,,,,,93.0,0.0,7620.0,0.0,0.0,209.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0,4.0,0.0,283.3799743652344,282.66998291015625,95.0,27.0,16.799999237060547,17.5,0
2,-999.0,100.0,100.0,100.0,85.0,1344.7916259765625,1344.7421875,23700.0,85500.0,11793.408203125,4.343033313751221,263.33245849609375,278.7642822265625,285.63885498046875,288.6312561035156,292.91363525390625,5673.3857421875,2997.2421875,1383.338623046875,,-3.9825363159179688,284.9943542480469,100.0,352.87286376953125,3986.113037109375,0.0,9.999999747378752e-05,0.12999999523162842,4101.61279296875,31.600000381469727,100.0,100.0,,8359.9140625,0.00039840000681579113,1.75,259.9368896484375,279.12091064453125,289.0435485839844,289.5288391113281,289.8927917480469,5815.32421875,3157.345947265625,1531.13720703125,813.1904296875,147.47262573242188,289.71917724609375,95.19999694824219,73.19999694824219,80.37248992919922,3955.840087890625,1196.829833984375,60.0,51.0,86.0,,300.0,264.20001220703125,279.20001220703125,285.70001220703125,288.70001220703125,293.0,5680.59130859375,2998.565673828125,1387.985595703125,674.0509033203125,8.784656524658203,285.34002685546875,99.9000015258789,100.0,438.55999755859375,3995.360107421875,0.0010999999940395355,6.9375,891.5208740234375,100.0,100.0,75.0,90.0,3100.0,263.5994873046875,278.013427734375,285.2337341308594,288.4410400390625,292.6254577636719,5674.99462890625,3001.07861328125,1391.315185546875,676.7498779296875,5.4867095947265625,287.9956970214844,97.0,97.63294219970703,381.18963623046875,3880.0,0.00026000000070780516,0.3125,,,,,,,,,,,,,,,,,,,,,,,,94.0,0.0,7620.0,0.0,0.0,209.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0,3.0,0.0,282.91998291015625,282.52996826171875,97.0,40.0,15.600000381469727,16.299999237060547,0
3,6124.2001953125,100.0,100.0,100.0,100.0,1344.7642822265625,1344.7608642578125,25200.0,85500.0,11707.8955078125,4.446995258331299,263.0224609375,278.1875915527344,285.3410339355469,288.57659912109375,292.787353515625,5668.7763671875,2996.96923828125,1387.34033203125,,1.03656005859375,284.9598693847656,100.0,374.3201599121094,3947.07861328125,0.0,9.999999747378752e-05,0.3799999952316284,1195.2381591796875,60.900001525878906,100.0,100.0,,24134.78515625,5.360000068321824e-05,3.4375,259.8987731933594,279.1357421875,288.51287841796875,289.137451171875,289.3317565917969,5810.07763671875,3154.172607421875,1527.6971435546875,810.6864013671875,145.9590606689453,289.15618896484375,96.69999694824219,75.5,103.48313903808594,3961.43994140625,1196.7764892578125,60.0,100.0,100.0,,300.0,263.3999938964844,278.5,285.70001220703125,288.1000061035156,292.3999938964844,5676.42822265625,2999.18017578125,1390.878662109375,678.2315673828125,13.567968368530273,284.8299865722656,99.9000015258789,100.0,487.2799987792969,3932.47998046875,0.00139999995008111,10.5,1714.19873046875,100.0,100.0,98.0,66.0,2000.0,263.4454040527344,277.4971923828125,285.43499755859375,288.3883056640625,292.4854431152344,5675.56201171875,3002.872802734375,1395.890380859375,681.1912841796875,10.2396240234375,287.9305114746094,96.35587310791016,96.93490600585938,378.2957458496094,3920.0,0.0010999999940395355,2.9375,5676.15234375,2998.6787109375,1386.943359375,673.6016845703125,13.197021484375,264.47039794921875,277.8675231933594,284.8813781738281,288.14459228515625,292.37786865234375,87.9698486328125,88.4406967163086,100.19568634033203,99.229248046875,-0.4549589157104492,0.6421136856079102,-0.15819835662841797,287.2458801269531,287.2458801269531,100171.625,90703.421875,18.5,31.956777572631836,94.0,0.0,7620.0,0.0,0.0,209.0,100.0,100.0,100.0,100.0,100.0,97.0,100.0,100.0,100.0,1.0,0.0,282.72003173828125,282.1199951171875,94.0,60.0,14.800000190734863,15.100000381469727,0
4,-999.0,100.0,100.0,64.0,100.0,1344.8792724609375,1344.795654296875,26800.0,85500.0,11254.208984375,4.493875503540039,263.0592041015625,277.595458984375,285.74188232421875,288.6855163574219,292.88677978515625,5667.70458984375,2997.226806640625,1388.494140625,,2.034271240234375,285.18304443359375,100.0,369.9071960449219,3896.85009765625,0.0,0.0,0.38999998569488525,1195.6505126953125,95.9000015258789,100.0,100.0,,24134.97265625,0.00013040000339969993,4.5625,259.5345458984375,279.70428466796875,287.38427734375,289.2444763183594,289.3644714355469,5808.55322265625,3152.944580078125,1526.3841552734375,809.7088012695312,144.81777954101562,289.3280944824219,96.5999984741211,75.80000305175781,116.99612426757812,3943.0400390625,1197.07275390625,60.0,78.0,98.0,,700.0,263.70001220703125,279.20001220703125,285.20001220703125,287.6000061035156,291.8999938964844,5673.3203125,2994.549072265625,1383.98828125,672.80615234375,8.683664321899414,284.239990234375,99.9000015258789,100.0,222.0800018310547,3948.320068359375,0.002199999988079071,4.875,1555.6739501953125,100.0,100.0,98.0,56.0,5300.0,263.50189208984375,277.7916259765625,285.37176513671875,288.33367919921875,292.5144348144531,5668.54052734375,2995.6279296875,1387.6507568359375,673.1593627929688,3.506500244140625,287.787353515625,96.0,96.39665985107422,377.4858703613281,3940.0,0.00019999999494757503,4.75,,,,,,,,,,,,,,,,,,,,,,,,91.0,0.0,7620.0,0.0,0.0,209.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0,1.0,0.0,282.79998779296875,281.6600036621094,93.0,79.0,13.600000381469727,14.199999809265137,0
5,-999.0,100.0,100.0,100.0,100.0,1344.8853759765625,1344.802001953125,59500.0,85500.0,10570.7607421875,4.541893005371094,263.34100341796875,277.75567626953125,285.8656005859375,288.9468994140625,293.1756286621094,5665.98681640625,2995.378173828125,1386.6265869140625,,0.05678558349609375,285.4289855957031,99.80000305175781,368.67535400390625,3891.89599609375,0.0,0.0,0.4099999964237213,1194.2501220703125,100.0,100.0,67.0,,6591.34619140625,0.00034080000477842987,6.1875,260.3699951171875,279.1030578613281,286.1285400390625,288.79852294921875,289.7085266113281,5809.951171875,3153.301025390625,1527.421630859375,811.6671752929688,147.66859436035156,289.9046936035156,97.0999984741211,77.4000015258789,145.23333740234375,3937.1201171875,1197.0406494140625,59.0,87.0,87.0,,700.0,263.6000061035156,278.8999938964844,285.29998779296875,287.3999938964844,291.70001220703125,5669.421875,2990.0009765625,1379.2030029296875,668.527587890625,5.279937267303467,283.8800048828125,99.9000015258789,100.0,591.3599853515625,4029.760009765625,0.001500000013038516,9.375,860.144775390625,100.0,92.0,82.0,61.0,6300.0,264.04766845703125,277.8270263671875,285.5837097167969,288.26190185546875,292.4288330078125,5655.921875,2985.0068359375,1376.037841796875,661.5453491210938,-8.014739990234375,287.64605712890625,96.0307846069336,97.14462280273438,356.5440979003906,3810.0,1.9999999494757503e-05,5.0,,,,,,,,,,,,,,,,,,,,,,,,89.0,70.0,8096.0,0.0,0.0,209.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.0,0.0,282.51995849609375,281.7300109863281,93.0,79.0,12.399999618530273,12.600000381469727,0
6,-999.0,100.0,100.0,40.0,32.0,1344.92333984375,1344.789306640625,71200.0,85400.0,3161.402587890625,2.9320127964019775,262.98480224609375,277.4713134765625,285.5643310546875,288.9192810058594,293.1459655761719,5658.82861328125,2990.27685546875,1382.308349609375,,-2.887908935546875,285.3454895019531,100.0,439.04718017578125,3750.990966796875,0.0,9.999999747378752e-05,0.6000000238418579,1192.9832763671875,100.0,100.0,65.19999694824219,,19908.025390625,0.00018400000408291817,7.1875,260.4122314453125,280.01806640625,285.910888671875,288.1727600097656,289.890869140625,5810.56396484375,3154.450439453125,1531.4859619140625,816.7534790039062,153.6644744873047,290.07061767578125,95.5,79.5999984741211,151.87615966796875,3938.239990234375,1196.916259765625,78.0,98.0,79.0,,500.0,264.20001220703125,279.20001220703125,284.79998779296875,287.20001220703125,291.5,5667.41015625,2985.79638671875,1377.97998046875,667.8603515625,6.147086143493652,283.6700134277344,99.80000305175781,100.0,302.7200012207031,4024.639892578125,0.001500000013038516,14.125,1573.18896484375,100.0,100.0,32.0,56.0,6400.0,263.97222900390625,277.6879577636719,285.73492431640625,288.453125,292.62353515625,5651.6533203125,2983.3828125,1374.9268798828125,659.9171752929688,-9.985023498535156,287.8598937988281,96.0,96.56803894042969,351.46368408203125,3740.0,0.00011000000085914508,5.3125,5662.52734375,2991.233642578125,1385.210693359375,672.8681640625,13.15283203125,264.41552734375,277.83404541015625,284.9056396484375,287.6129150390625,291.935546875,95.52204132080078,100.61370849609375,99.83346557617188,99.31026458740234,-0.8586435317993164,-0.14273738861083984,-0.12203216552734375,286.74981689453125,286.74981689453125,100169.9375,90694.9140625,17.0,29.169071197509766,88.0,39.0,8566.0,0.0,0.0,209.0,100.0,100.0,100.0,100.0,100.0,98.0,100.0,100.0,100.0,2.0,0.0,282.3899841308594,281.57000732421875,94.0,82.0,11.199999809265137,11.699999809265137,0
7,3539.800048828125,100.0,100.0,100.0,0.0,1344.7486572265625,1344.75439453125,59500.0,85400.0,4784.13134765625,3.0618340969085693,262.0199890136719,277.53948974609375,285.20916748046875,288.5050048828125,292.7674560546875,5654.66015625,2989.685302734375,1381.4525146484375,,-2.5524215698242188,284.92816162109375,100.0,378.0214538574219,3840.62744140625,100.0,0.000699999975040555,3.569999933242798,3969.550048828125,22.899999618530273,74.5,16.0,,24135.0,4.800000169780105e-06,0.5,260.4438171386719,279.4312744140625,286.9951477050781,289.0254211425781,290.029296875,5813.88037109375,3157.353271484375,1532.9000244140625,815.7833251953125,151.70327758789062,290.2239990234375,95.5999984741211,78.80000305175781,191.55459594726562,3984.320068359375,1268.3922119140625,84.0,53.0,3.0,,3800.0,264.5,277.1000061035156,284.8999938964844,287.29998779296875,291.6000061035156,5658.10498046875,2984.510009765625,1378.05126953125,667.7846069335938,6.755976676940918,283.6499938964844,98.80000305175781,100.0,144.47999572753906,3939.0400390625,0.0017999999690800905,3.0625,1202.947265625,85.0,77.0,0.0,43.0,10100.0,263.26605224609375,277.87152099609375,285.7927551269531,288.7174987792969,292.87042236328125,5646.68359375,2983.1474609375,1374.94189453125,659.5911865234375,-10.009323120117188,288.03460693359375,94.08269500732422,94.94578552246094,220.57142639160156,3660.0,9.999999747378752e-06,5.5,,,,,,,,,,,,,,,,,,,,,,,,89.0,0.0,7620.0,0.0,0.0,209.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.0,0.0,282.489990234375,281.6499938964844,96.0,72.0,10.399999618530273,10.800000190734863,0
8,-999.0,100.0,100.0,33.0,0.0,1344.701904296875,1344.743896484375,75800.0,85400.0,2578.4599609375,3.181967258453369,262.4150695800781,277.5319519042969,284.86517333984375,288.21795654296875,292.46197509765625,5646.5283203125,2985.44775390625,1379.2164306640625,,-3.911346435546875,284.65350341796875,100.0,401.9108581542969,3805.460205078125,0.0,0.0,4.429999828338623,5329.04736328125,23.899999618530273,92.0999984741211,87.4000015258789,,24134.8515625,0.0,0.5,260.4869384765625,279.2154235839844,286.4702453613281,288.9044189453125,291.57891845703125,5817.201171875,3159.026611328125,1535.4212646484375,818.77197265625,154.52719116210938,292.27447509765625,84.69999694824219,76.4000015258789,406.9888916015625,3974.719970703125,1421.16650390625,66.0,50.0,0.0,,8700.0,264.3999938964844,278.6000061035156,284.3999938964844,288.3999938964844,292.70001220703125,5648.888671875,2983.923828125,1377.1248779296875,664.5691528320312,7.2961015701293945,284.3399963378906,98.5999984741211,98.0,71.36000061035156,3680.800048828125,0.0005000000237487257,7.4375,1097.9290771484375,63.0,27.0,0.0,34.0,9900.0,263.173583984375,277.6308898925781,285.4564514160156,288.56488037109375,292.7470703125,5649.67822265625,2991.304931640625,1385.06884765625,670.2724609375,0.3404541015625,287.7451477050781,94.0,96.10104370117188,142.2115020751953,3630.0,0.0,5.5,,,,,,,,,,,,,,,,,,,,,,,,88.0,0.0,7620.0,0.0,0.0,209.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3.0,0.0,282.05999755859375,281.989990234375,98.0,43.0,9.600000381469727,9.600000381469727,0
9,-999.0,100.0,100.0,0.0,0.0,1344.826171875,1344.7579345703125,77900.0,85400.0,2332.422119140625,3.3101305961608887,262.6984558105469,276.76153564453125,284.674072265625,288.1490478515625,292.39007568359375,5640.2802734375,2984.75927734375,1382.1148681640625,,0.489501953125,284.6143493652344,100.0,432.2081604003906,3570.230224609375,0.0,0.0,4.429999828338623,2208.84619140625,60.400001525878906,100.0,100.0,,24134.87890625,0.0,0.5,260.6240539550781,279.00665283203125,285.77410888671875,287.0240783691406,292.7040710449219,5819.791015625,3162.923095703125,1540.6541748046875,826.416748046875,161.82249450683594,294.2745056152344,74.0999984741211,91.0,630.0170288085938,3928.639892578125,1421.871826171875,81.0,22.0,0.0,,5400.0,264.0,277.6000061035156,285.1000061035156,289.5,293.79998779296875,5642.986328125,2983.48193359375,1376.1885986328125,660.8992309570312,5.619632720947266,285.2900085449219,97.0,96.0,71.68000030517578,3540.639892578125,0.0007999999797903001,9.875,862.6436157226562,62.0,0.0,0.0,62.0,6200.0,262.1528625488281,277.4431457519531,285.14373779296875,288.3775939941406,292.539794921875,5635.9248046875,2983.81640625,1378.0535888671875,663.7561645507812,-5.283958435058594,287.3781433105469,95.43063354492188,97.63639068603516,154.87713623046875,3560.0,0.0,5.5625,5639.3671875,2984.79833984375,1376.89208984375,665.60595703125,5.964111328125,263.3963623046875,277.51019287109375,285.00146484375,287.22821044921875,291.7252197265625,67.31981658935547,97.659423828125,98.40657806396484,99.02851867675781,0.35051822662353516,0.011153221130371094,0.006438255310058594,286.2332458496094,286.2332458496094,100090.625,90611.109375,33.0,24.259029388427734,85.0,0.0,7620.0,0.0,0.0,209.0,100.0,100.0,100.0,100.0,100.0,90.0,95.0,95.0,95.0,8.0,0.0,282.1000061035156,282.2300109863281,100.0,29.0,8.800000190734863,9.199999809265137,0
10,-999.0,100.0,100.0,0.0,0.0,1344.77294921875,1344.6724853515625,83000.0,85400.0,1737.19873046875,3.6816866397857666,262.7791748046875,276.1365966796875,284.53155517578125,288.1582946777344,292.4465637207031,5630.6640625,2982.58203125,1380.7158203125,,-0.1096038818359375,284.6598205566406,100.0,349.6505126953125,3415.373779296875,0.0,0.0,4.429999828338623,4054.0263671875,17.700000762939453,100.0,100.0,,24134.7265625,0.0,0.5,260.99456787109375,278.9877624511719,287.0577697753906,287.19647216796875,293.6064758300781,5823.1455078125,3166.439453125,1540.69677734375,825.6170043945312,159.25006103515625,294.78143310546875,68.5999984741211,95.9000015258789,753.6878662109375,3861.760009765625,2104.501953125,58.0,12.0,0.0,,24100.0,265.5,276.20001220703125,285.6000061035156,289.70001220703125,294.0,5638.95166015625,2981.145751953125,1374.9560546875,658.9345703125,4.165390491485596,285.57000732421875,97.5999984741211,97.0,183.75999450683594,3524.47998046875,0.0,1.75,875.7066040039062,87.0,0.0,0.0,87.0,9300.0,261.49322509765625,277.00201416015625,284.8755187988281,288.36322021484375,292.4520263671875,5631.04443359375,2981.89404296875,1377.39794921875,663.5764770507812,-5.278526306152344,287.67486572265625,96.7852783203125,97.50160217285156,256.48638916015625,3540.0,0.0,5.5625,,,,,,,,,,,,,,,,,,,,,,,,73.0,0.0,7620.0,0.0,0.0,209.0,100.0,100.0,100.0,100.0,100.0,96.0,100.0,100.0,100.0,18.0,0.0,282.0,281.7300109863281,99.0,19.0,8.399999618530273,8.800000190734863,0
