fxx,cloud_top_hrrr,boundary_layer_cloud_layer,low_cloud_layer_percent_hrrr,middle_cloud_layer_percent_hrrr,high_cloud_layer_percent_hrrr,cloud_ceiling_m_hrrr,cloud_base_m_hrrr,cloud_top_pres_hrrr,cloud_base_pres_hrrr,cloud_top_hgt_hrrr,wind_10m_day_max_hrrr,tmp_500mb_hrrr,tmp_700mb_hrrr,tmp_850mb_hrrr,tmp_925mb_hrrr,tmp_1000mb_hrrr,hgt_500mb_hrrr,hgt_700mb_hrrr,hgt_850mb_hrrr,hgt_925mb_hrrr,hgt_1000mb_hrrr,tmp_2m_hrrr,rh_2m_hrrr,hpbl_surface_hrrr,hgt_0C_iso_hrrr,vis_surface_hrrr,prate_surface_hrrr,apcp_surface_hrrr,cloud_ceiling_gfs,low_cloud_layer_percent_gfs,middle_cloud_layer_percent_gfs,high_cloud_layer_percent_gfs,boundary_layer_cloud_layer_gfs,vis_surface_gfs,prate_surface_gfs,apcp_surface_gfs,tmp_500mb_gfs,tmp_700mb_gfs,tmp_850mb_gfs,tmp_925mb_gfs,tmp_1000mb_gfs,hgt_500mb_gfs,hgt_700mb_gfs,hgt_850mb_gfs,hgt_925mb_gfs,hgt_1000mb_gfs,tmp_2m_gfs,rh_2m_gfs,rh_925mb_gfs,hpbl_surface_gfs,hgt_0C_iso_gfs,cloud_ceiling_nam,low_cloud_layer_percent_nam,middle_cloud_layer_percent_nam,high_cloud_layer_percent_nam,boundary_layer_cloud_layer_nam,vis_surface_nam,tmp_500mb_nam,tmp_700mb_nam,tmp_850mb_nam,tmp_925mb_nam,tmp_1000mb_nam,hgt_500mb_nam,hgt_700mb_nam,hgt_850mb_nam,hgt_925mb_nam,hgt_1000mb_nam,tmp_2m_nam,rh_2m_nam,rh_925mb_nam,hpbl_surface_nam,hgt_0C_iso_nam,prate_surface_nam,apcp_surface_nam,cloud_ceiling_m_rap,low_cloud_layer_percent_rap,middle_cloud_layer_percent_rap,high_cloud_layer_percent_rap,boundary_layer_cloud_layer_rap,vis_surface_rap,tmp_500mb_rap,tmp_700mb_rap,tmp_850mb_rap,tmp_925mb_rap,tmp_1000mb_rap,hgt_500mb_rap,hgt_700mb_rap,hgt_850mb_rap,hgt_925mb_rap,hgt_1000mb_rap,tmp_2m_rap,rh_2m_rap,rh_925mb_rap,hpbl_surface_rap,hgt_0C_iso_rap,prate_surface_rap,apcp_surface_rap,hgt_500mb_ecmwf,hgt_700mb_ecmwf,hgt_850mb_ecmwf,hgt_925mb_ecmwf,hgt_1000mb_ecmwf,tmp_500mb_ecmwf,tmp_700mb_ecmwf,tmp_850mb_ecmwf,tmp_925mb_ecmwf,tmp_1000mb_ecmwf,rh_700mb_ecmwf,rh_850mb_ecmwf,rh_925mb_ecmwf,rh_1000mb_ecmwf,vvel_700mb_ecmwf,vvel_850mb_ecmwf,vvel_925mb_ecmwf,tmp_2m_ecmwf,dpt_2m_ecmwf,mslp_ecmwf,sp_surface_ecmwf,cape_ecmwf,tcwv_ecmwf,tcdc_surface_nbm,tcdc_high_cloud_nbm,cdcb_high_cloud_nbm,cloud_ceiling_m_nbm,cloud_base_m_nbm,vis_surface_nbm,ceil_prob_below_152m_nbm,ceil_prob_below_305m_nbm,ceil_prob_below_610m_nbm,ceil_prob_below_914m_nbm,ceil_prob_below_2012m_nbm,vis_prob_below_1609m_nbm,vis_prob_below_3219m_nbm,vis_prob_below_4828m_nbm,vis_prob_below_8047m_nbm,cape_surface_nbm,mixing_height_nbm,tmp_2m_nbm,dpt_2m_nbm,rh_2m_nbm,apcp_surface_nbm,wind_10m_nbm,gust_surface_nbm,is_undercast
1,-999.0,0.0,95.0,0.0,9.0,1467.166748046875,1342.2547607421875,71800.0,86100.0,3127.46875,8.888701438903809,258.273681640625,272.25830078125,278.58709716796875,273.9388427734375,277.4225769042969,5648.8955078125,3028.087890625,1450.8673095703125,,120.80938720703125,274.7887878417969,93.0,196.66920471191406,2852.719970703125,12200.0,0.0,0.0,15744.2431640625,29.0,0.0,5.0,,24134.716796875,0.0,0.0,259.06097412109375,275.8017883300781,278.88836669921875,279.2679138183594,281.8486022949219,5769.5732421875,3124.826904296875,1546.2742919921875,854.8226928710938,210.46043395996094,280.6260681152344,96.30000305175781,93.69999694824219,74.09378814697266,3717.60009765625,20000.150390625,45.0,19.0,0.0,,24100.0,258.3999938964844,273.0,282.20001220703125,282.5,286.70001220703125,5653.955078125,3029.71923828125,1445.602783203125,749.5963745117188,145.41000366210938,276.219970703125,97.0,83.0,180.32000732421875,2999.360107421875,0.0,0.1875,1890.420166015625,100.0,44.0,2.0,51.0,11200.0,257.9729919433594,272.12030029296875,281.1913146972656,272.5733337402344,275.12103271484375,5653.75244140625,3034.431396484375,1455.95703125,767.5070190429688,127.05056762695312,272.08770751953125,91.0,91.47587585449219,293.0111999511719,1570.0,1.9999999494757503e-05,0.125,,,,,,,,,,,,,,,,,,,,,,,,86.0,26.0,8460.0,0.0,0.0,209.0,87.0,89.0,89.0,89.0,93.0,86.0,89.0,92.0,95.0,1.0,0.0,273.6300048828125,270.8699951171875,80.0,18.0,19.600000381469727,19.200000762939453,0
2,-999.0,0.0,6.0,37.0,75.0,nan,1342.3951416015625,45500.0,86200.0,nan,8.645750045776367,257.9263916015625,272.77239990234375,279.585693359375,274.7874755859375,278.18310546875,5657.6689453125,3035.93701171875,1455.134521484375,,122.59146118164062,275.8969421386719,86.69999694824219,212.4891357421875,3015.1201171875,14000.0,0.0,0.0,929.063720703125,94.30000305175781,0.0,5.0,,24135.013671875,0.0,0.0,259.0452880859375,275.9996032714844,279.0818786621094,278.8150329589844,282.2918701171875,5767.4833984375,3122.08837890625,1542.1241455078125,851.0068359375,206.57525634765625,281.21014404296875,93.0,95.5999984741211,40.9036865234375,3786.719970703125,19999.841796875,43.0,8.0,0.0,,24100.0,257.6000061035156,273.79998779296875,283.6000061035156,283.3999938964844,287.6000061035156,5660.134765625,3033.275634765625,1446.877197265625,748.0078735351562,143.49053955078125,276.8299865722656,100.0,91.0,970.9600219726562,3144.0,0.0,0.4375,2022.8350830078125,93.0,16.0,1.0,37.0,11500.0,258.0607604980469,272.5589599609375,282.2068786621094,272.8076477050781,275.320556640625,5653.65771484375,3033.045166015625,1451.3074951171875,761.5506591796875,120.4519271850586,272.40496826171875,90.0,89.53247833251953,291.9978332519531,1620.0,0.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,80.0,0.0,7620.0,0.0,0.0,209.0,98.0,98.0,98.0,98.0,98.0,85.0,86.0,86.0,86.0,1.0,0.0,273.6100158691406,270.05999755859375,77.0,24.0,18.799999237060547,18.600000381469727,0
3,-999.0,0.0,6.0,51.0,26.0,nan,1342.6771240234375,52600.0,86100.0,nan,9.019455909729004,258.0832214355469,273.0232238769531,279.67547607421875,275.5986328125,278.860595703125,5651.7783203125,3030.374267578125,1449.01708984375,,114.2231674194336,276.8116149902344,82.80000305175781,208.07679748535156,3075.760009765625,16300.0,0.0,0.019999999552965164,944.6510009765625,100.0,0.0,5.0,,24135.201171875,0.0,0.0,259.0721740722656,276.0480041503906,279.27484130859375,278.89483642578125,282.961669921875,5767.0458984375,3119.6572265625,1537.927734375,847.5159301757812,202.73793029785156,282.7451171875,84.0,93.5999984741211,55.48002243041992,3830.080078125,20000.158203125,49.0,50.0,0.0,,0.0,257.70001220703125,274.5,283.5,282.20001220703125,286.5,5654.12548828125,3025.65576171875,1437.241943359375,741.3248291015625,135.9189453125,275.95001220703125,100.0,93.0,180.32000732421875,3239.679931640625,0.0,0.5625,nan,66.0,27.0,0.0,38.0,11100.0,258.22320556640625,273.07391357421875,281.8320007324219,272.6016540527344,275.3173522949219,5648.48974609375,3025.806396484375,1442.2401123046875,754.000732421875,111.79195404052734,271.59112548828125,89.00408935546875,91.14984130859375,292.6843566894531,1610.0,0.0,0.125,5654.625,3029.126220703125,1443.079833984375,761.1810302734375,140.15087890625,258.4078369140625,273.93438720703125,280.63330078125,270.17413330078125,274.1063232421875,97.5840072631836,81.16397094726562,98.14787292480469,98.42496490478516,0.25003814697265625,0.3830137252807617,0.14304637908935547,268.6380615234375,268.2005615234375,101755.25,91617.0,,19.466646194458008,86.0,0.0,7620.0,0.0,0.0,209.0,86.0,86.0,86.0,87.0,90.0,85.0,85.0,85.0,85.0,1.0,0.0,273.67999267578125,271.04998779296875,81.0,20.0,18.399999618530273,18.5,0
4,2997.800048828125,0.0,2.0,100.0,8.0,nan,1342.7379150390625,48900.0,86000.0,nan,9.174044609069824,257.87701416015625,273.24029541015625,279.5032043457031,276.274169921875,279.449951171875,5648.685546875,3025.96728515625,1444.1854248046875,,107.20027923583984,276.9064025878906,84.80000305175781,217.70437622070312,3161.280029296875,14500.0,0.0,0.05000000074505806,1014.2429809570312,100.0,0.0,5.0,,24135.35546875,0.0,0.0,259.27740478515625,276.1581726074219,279.5090637207031,279.1290283203125,283.3737487792969,5765.87255859375,3117.290771484375,1533.58544921875,843.9154663085938,198.43231201171875,283.1000061035156,81.4000015258789,91.0999984741211,16.715927124023438,3840.320068359375,20000.16015625,44.0,47.0,0.0,,0.0,258.20001220703125,274.70001220703125,283.6000061035156,282.5,286.70001220703125,5649.80078125,3020.656005859375,1433.9150390625,737.50048828125,131.14956665039062,276.44000244140625,100.0,91.0,105.76000213623047,3297.43994140625,9.999999747378752e-05,0.25,2296.2373046875,58.0,100.0,0.0,56.0,6700.0,257.659423828125,273.4820556640625,281.141845703125,273.2409973144531,275.9326171875,5652.68896484375,3029.102294921875,1444.77099609375,755.994873046875,112.59855651855469,272.3349609375,92.77122497558594,95.1280288696289,293.129150390625,1740.0,0.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,94.0,30.0,7992.0,0.0,0.0,209.0,86.0,86.0,86.0,87.0,87.0,82.0,85.0,85.0,85.0,1.0,0.0,273.7300109863281,271.2200012207031,82.0,26.0,18.0,18.0,0
5,3851.39990234375,0.0,6.0,62.0,2.0,nan,1342.885009765625,45500.0,86000.0,nan,9.3258695602417,258.1023254394531,273.0831298828125,279.4453125,277.2135314941406,280.42889404296875,5644.09716796875,3020.09716796875,1438.572265625,,98.83367919921875,277.0838928222656,88.19999694824219,237.50790405273438,3049.43994140625,13100.0,0.0,0.10999999940395355,5353.03759765625,86.5999984741211,0.0,5.0,,24135.05078125,0.0,0.0,259.4729309082031,276.38946533203125,279.86944580078125,279.6514587402344,283.689453125,5765.52587890625,3116.9951171875,1530.763427734375,841.40625,194.812255859375,283.29998779296875,79.69999694824219,85.19999694824219,15.2217435836792,3803.0400390625,19999.990234375,38.0,47.0,0.0,,0.0,258.5,274.6000061035156,283.5,281.79998779296875,286.0,5646.26318359375,3017.59326171875,1429.654541015625,733.1923828125,122.76252746582031,277.4100036621094,100.0,97.0,1084.0,3198.56005859375,9.999999747378752e-05,0.75,1873.066162109375,100.0,100.0,0.0,56.0,6400.0,257.5802307128906,273.2412414550781,281.313232421875,274.6171875,277.16131591796875,5642.099609375,3019.77734375,1436.0811767578125,745.0745239257812,100.47183227539062,273.7307434082031,92.05584716796875,96.52947998046875,292.3216552734375,2450.0,0.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,94.0,38.0,10518.0,0.0,0.0,209.0,83.0,83.0,85.0,86.0,86.0,85.0,94.0,98.0,99.0,0.0,0.0,274.41998291015625,271.739990234375,84.0,35.0,17.600000381469727,17.600000381469727,0
6,-999.0,0.0,100.0,100.0,0.0,1582.6663818359375,1343.197509765625,63000.0,85900.0,4269.70947265625,9.219131469726562,258.0099182128906,273.2943115234375,279.8706359863281,278.5343322753906,281.84368896484375,5633.474609375,3009.4453125,1427.57177734375,,83.72039794921875,277.72406005859375,93.0,305.5747375488281,3027.1201171875,9800.0,9.999999747378752e-05,2.190000057220459,19999.845703125,0.0,0.0,5.0,,24135.265625,0.0,0.0,259.3994140625,276.8875732421875,279.5273132324219,279.9903259277344,283.5401306152344,5768.27294921875,3119.363525390625,1530.2100830078125,839.844970703125,193.35186767578125,283.12933349609375,80.4000015258789,81.9000015258789,15.241399765014648,3797.280029296875,1196.7645263671875,84.0,99.0,0.0,,200.0,258.1000061035156,274.6000061035156,283.1000061035156,282.29998779296875,286.5,5637.95703125,3006.2958984375,1420.6651611328125,722.5291137695312,109.2148208618164,278.6300048828125,100.0,100.0,867.3599853515625,3279.199951171875,0.001500000013038516,2.6875,1690.320068359375,100.0,100.0,0.0,53.0,9700.0,257.3915710449219,273.44464111328125,281.62689208984375,276.03607177734375,278.3546142578125,5630.22265625,3007.465087890625,1423.7061767578125,729.7457885742188,83.28471374511719,274.9973449707031,91.1246566772461,97.01040649414062,289.6898193359375,2530.0,3.9999998989515007e-05,0.125,5643.8515625,3015.6240234375,1429.773193359375,739.174072265625,110.00732421875,258.41375732421875,273.2823486328125,282.1189880371094,273.9730224609375,277.73565673828125,98.24848175048828,88.4190902709961,98.5992431640625,97.82079315185547,0.28220176696777344,0.43492603302001953,0.09166431427001953,271.06866455078125,270.88116455078125,101290.125,91355.140625,,23.340654373168945,94.0,33.0,10116.0,0.0,0.0,209.0,85.0,85.0,87.0,90.0,93.0,91.0,100.0,100.0,100.0,0.0,0.0,274.70001220703125,272.5,86.0,64.0,17.200000762939453,17.5,0
7,-999.0,0.0,100.0,81.0,0.0,1343.6688232421875,1343.431884765625,66100.0,85800.0,3850.110595703125,8.063116073608398,258.056396484375,273.80548095703125,279.7740173339844,278.7564392089844,282.0054931640625,5630.958984375,3008.4482421875,1424.53466796875,,79.20877838134766,277.3320617675781,95.80000305175781,306.5307312011719,3118.159912109375,200.0,0.00019999999494757503,3.130000114440918,19999.841796875,0.0,0.0,5.0,,24134.978515625,0.0,0.0,259.28216552734375,277.2354736328125,279.8446960449219,279.68511962890625,282.7759704589844,5770.6318359375,3120.832763671875,1530.4449462890625,838.545654296875,193.822998046875,283.3563232421875,80.5999984741211,85.80000305175781,126.14481353759766,3842.719970703125,1854.3240966796875,82.0,91.0,0.0,,5100.0,257.8999938964844,274.0,282.29998779296875,282.29998779296875,286.5,5635.947265625,3002.25537109375,1413.731689453125,715.9494018554688,100.65247344970703,278.69000244140625,98.30000305175781,97.0,779.8400268554688,3223.0400390625,0.0010999999940395355,4.6875,1349.235595703125,97.0,100.0,96.0,55.0,6300.0,258.3041687011719,273.91998291015625,281.8455505371094,277.1266784667969,279.508056640625,5627.90283203125,3004.968505859375,1419.5003662109375,723.5341796875,75.47980499267578,275.90557861328125,89.17532348632812,97.14592742919922,287.5952453613281,3170.0,0.0,0.1875,,,,,,,,,,,,,,,,,,,,,,,,95.0,92.0,8886.0,0.0,0.0,256.0,89.0,89.0,97.0,100.0,100.0,90.0,100.0,100.0,100.0,1.0,0.0,274.8399963378906,272.22998046875,84.0,85.0,16.799999237060547,17.100000381469727,0
8,-999.0,0.0,100.0,27.0,1.0,1343.672119140625,1343.412109375,66000.0,85700.0,3847.828125,8.487217903137207,258.0130615234375,273.61553955078125,279.6458740234375,279.0386962890625,282.31658935546875,5621.65869140625,2999.7021484375,1415.886962890625,,69.58295440673828,277.065673828125,94.9000015258789,304.7184753417969,3120.9599609375,400.0,0.0003000000142492354,4.46999979019165,19999.853515625,0.0,0.0,0.0,,24135.16015625,0.0,0.0,259.3910827636719,277.3275451660156,280.5668029785156,279.9468078613281,284.0168151855469,5773.98681640625,3122.251220703125,1530.737060546875,837.3220825195312,192.36155700683594,285.3780517578125,71.5999984741211,84.5999984741211,374.3279724121094,3900.159912109375,19999.8984375,36.0,45.0,0.0,,15900.0,258.3999938964844,274.70001220703125,282.70001220703125,282.3999938964844,286.6000061035156,5629.13427734375,2998.40234375,1409.3431396484375,711.28466796875,92.48108673095703,278.70001220703125,96.5,96.0,779.0399780273438,3187.360107421875,0.00019999999494757503,8.5,1071.099853515625,100.0,100.0,100.0,76.0,5500.0,257.96746826171875,274.0591125488281,281.5326843261719,277.7176208496094,280.26287841796875,5618.1474609375,2992.721923828125,1405.706787109375,709.5302734375,59.967063903808594,276.51300048828125,89.35488891601562,97.39674377441406,286.1427917480469,3150.0,0.0003100000030826777,0.4375,,,,,,,,,,,,,,,,,,,,,,,,93.0,71.0,9310.0,0.0,0.0,256.0,94.0,98.0,100.0,100.0,100.0,83.0,96.0,100.0,100.0,1.0,0.0,274.75,272.45001220703125,83.0,66.0,16.799999237060547,16.700000762939453,0
9,-999.0,0.0,100.0,80.0,0.0,1343.7596435546875,1343.601806640625,66000.0,85700.0,3848.844970703125,9.235767364501953,257.9256591796875,273.684326171875,280.3303527832031,280.1797790527344,283.52325439453125,5621.890625,2997.978515625,1412.903564453125,,63.274757385253906,277.98681640625,94.80000305175781,304.8819274902344,3083.52001953125,100.0,0.00019999999494757503,4.900000095367432,19999.888671875,1.399999976158142,0.0,0.0,,24134.939453125,0.0,0.0,259.4100036621094,277.6939697265625,280.8309326171875,279.5509033203125,285.3109130859375,5778.291015625,3124.906494140625,1531.6986083984375,837.7225341796875,191.55569458007812,287.130615234375,67.0999984741211,91.5999984741211,709.8428344726562,3945.760009765625,19999.853515625,41.0,49.0,1.0,,9900.0,258.6000061035156,274.3999938964844,281.3999938964844,282.79998779296875,287.0,5628.98291015625,2996.650634765625,1406.4775390625,708.0802001953125,88.31423950195312,278.8999938964844,95.5999984741211,95.0,779.5999755859375,3319.52001953125,0.00039999998989515007,11.6875,1287.23583984375,100.0,100.0,59.0,70.0,7000.0,258.0426025390625,274.42449951171875,281.5682373046875,278.0898132324219,280.67291259765625,5622.6484375,2995.413818359375,1405.97509765625,709.7799682617188,59.555686950683594,277.13177490234375,88.6369857788086,95.77900695800781,300.05810546875,3250.0,0.00033999999868683517,3.4375,5629.234375,3000.44482421875,1410.298583984375,715.0291137695312,78.530517578125,259.05267333984375,274.08111572265625,282.66595458984375,277.14703369140625,280.9858703613281,78.14019012451172,90.03893280029297,95.93619537353516,98.05244445800781,0.28846263885498047,0.6020479202270508,0.1139822006225586,275.09326171875,274.96826171875,100878.0,91101.8125,,19.27919578552246,90.0,54.0,9296.0,0.0,0.0,256.0,96.0,100.0,100.0,100.0,100.0,87.0,100.0,100.0,100.0,1.0,0.0,275.45001220703125,273.6499938964844,86.0,50.0,16.399999618530273,16.299999237060547,0
10,-999.0,0.0,100.0,0.0,0.0,1343.926025390625,1343.6405029296875,71400.0,85600.0,3136.697509765625,10.713379859924316,258.6162414550781,273.6683044433594,280.96087646484375,280.84088134765625,284.198974609375,5616.8837890625,2991.2900390625,1405.50439453125,,53.63947296142578,278.758544921875,94.69999694824219,304.6655578613281,3080.800048828125,400.0,0.0,5.239999771118164,19999.916015625,0.0,0.0,0.0,,24134.78125,0.0,0.0,259.48516845703125,277.80255126953125,281.17559814453125,280.24560546875,286.56866455078125,5779.580078125,3125.0625,1531.0169677734375,836.3917846679688,187.88522338867188,288.57611083984375,60.599998474121094,88.69999694824219,894.29345703125,3978.239990234375,19999.828125,31.0,14.0,0.0,,24100.0,258.5,274.8999938964844,282.3999938964844,284.8999938964844,289.20001220703125,5626.388671875,2992.814208984375,1403.396484375,699.9566650390625,80.07572937011719,280.67999267578125,94.30000305175781,92.0,481.67999267578125,3282.080078125,9.999999747378752e-05,2.25,1169.8837890625,100.0,60.0,100.0,70.0,6900.0,257.867919921875,274.003662109375,282.68914794921875,278.64013671875,281.24249267578125,5624.865234375,2999.11328125,1409.0557861328125,710.6468505859375,59.647281646728516,277.2333984375,88.31803131103516,96.48519134521484,300.795654296875,3190.0,0.0,3.75,,,,,,,,,,,,,,,,,,,,,,,,95.0,64.0,8428.0,0.0,0.0,256.0,94.0,99.0,100.0,100.0,100.0,79.0,89.0,94.0,96.0,1.0,0.0,276.03997802734375,274.010009765625,87.0,26.0,16.799999237060547,16.700000762939453,0
