fxx,cloud_top_hrrr,boundary_layer_cloud_layer,low_cloud_layer_percent_hrrr,middle_cloud_layer_percent_hrrr,high_cloud_layer_percent_hrrr,cloud_ceiling_m_hrrr,cloud_base_m_hrrr,cloud_top_pres_hrrr,cloud_base_pres_hrrr,cloud_top_hgt_hrrr,wind_10m_day_max_hrrr,tmp_500mb_hrrr,tmp_700mb_hrrr,tmp_850mb_hrrr,tmp_925mb_hrrr,tmp_1000mb_hrrr,hgt_500mb_hrrr,hgt_700mb_hrrr,hgt_850mb_hrrr,hgt_925mb_hrrr,hgt_1000mb_hrrr,tmp_2m_hrrr,rh_2m_hrrr,hpbl_surface_hrrr,hgt_0C_iso_hrrr,vis_surface_hrrr,prate_surface_hrrr,apcp_surface_hrrr,cloud_ceiling_gfs,low_cloud_layer_percent_gfs,middle_cloud_layer_percent_gfs,high_cloud_layer_percent_gfs,boundary_layer_cloud_layer_gfs,vis_surface_gfs,prate_surface_gfs,apcp_surface_gfs,tmp_500mb_gfs,tmp_700mb_gfs,tmp_850mb_gfs,tmp_925mb_gfs,tmp_1000mb_gfs,hgt_500mb_gfs,hgt_700mb_gfs,hgt_850mb_gfs,hgt_925mb_gfs,hgt_1000mb_gfs,tmp_2m_gfs,rh_2m_gfs,rh_925mb_gfs,hpbl_surface_gfs,hgt_0C_iso_gfs,cloud_ceiling_nam,low_cloud_layer_percent_nam,middle_cloud_layer_percent_nam,high_cloud_layer_percent_nam,boundary_layer_cloud_layer_nam,vis_surface_nam,tmp_500mb_nam,tmp_700mb_nam,tmp_850mb_nam,tmp_925mb_nam,tmp_1000mb_nam,hgt_500mb_nam,hgt_700mb_nam,hgt_850mb_nam,hgt_925mb_nam,hgt_1000mb_nam,tmp_2m_nam,rh_2m_nam,rh_925mb_nam,hpbl_surface_nam,hgt_0C_iso_nam,prate_surface_nam,apcp_surface_nam,cloud_ceiling_m_rap,low_cloud_layer_percent_rap,middle_cloud_layer_percent_rap,high_cloud_layer_percent_rap,boundary_layer_cloud_layer_rap,vis_surface_rap,tmp_500mb_rap,tmp_700mb_rap,tmp_850mb_rap,tmp_925mb_rap,tmp_1000mb_rap,hgt_500mb_rap,hgt_700mb_rap,hgt_850mb_rap,hgt_925mb_rap,hgt_1000mb_rap,tmp_2m_rap,rh_2m_rap,rh_925mb_rap,hpbl_surface_rap,hgt_0C_iso_rap,prate_surface_rap,apcp_surface_rap,hgt_500mb_ecmwf,hgt_700mb_ecmwf,hgt_850mb_ecmwf,hgt_925mb_ecmwf,hgt_1000mb_ecmwf,tmp_500mb_ecmwf,tmp_700mb_ecmwf,tmp_850mb_ecmwf,tmp_925mb_ecmwf,tmp_1000mb_ecmwf,rh_700mb_ecmwf,rh_850mb_ecmwf,rh_925mb_ecmwf,rh_1000mb_ecmwf,vvel_700mb_ecmwf,vvel_850mb_ecmwf,vvel_925mb_ecmwf,tmp_2m_ecmwf,dpt_2m_ecmwf,mslp_ecmwf,sp_surface_ecmwf,cape_ecmwf,tcwv_ecmwf,tcdc_surface_nbm,tcdc_high_cloud_nbm,cdcb_high_cloud_nbm,cloud_ceiling_m_nbm,cloud_base_m_nbm,vis_surface_nbm,ceil_prob_below_152m_nbm,ceil_prob_below_305m_nbm,ceil_prob_below_610m_nbm,ceil_prob_below_914m_nbm,ceil_prob_below_2012m_nbm,vis_prob_below_1609m_nbm,vis_prob_below_3219m_nbm,vis_prob_below_4828m_nbm,vis_prob_below_8047m_nbm,cape_surface_nbm,mixing_height_nbm,tmp_2m_nbm,dpt_2m_nbm,rh_2m_nbm,apcp_surface_nbm,wind_10m_nbm,gust_surface_nbm,is_undercast
1,-999.0,100.0,100.0,0.0,0.0,1339.8846435546875,1339.6888427734375,79500.0,83300.0,1993.27783203125,14.075282096862793,239.4109649658203,250.28977966308594,253.18252563476562,258.0780334472656,261.92071533203125,5052.7626953125,2632.935302734375,1207.794677734375,,-26.6827392578125,251.3150634765625,77.0999984741211,370.57342529296875,0.0,1200.0,0.0,0.050999999046325684,19999.955078125,5.0,0.0,0.0,,24135.19140625,0.0,0.0,250.21807861328125,269.375,278.15277099609375,274.00958251953125,272.5269775390625,5605.666015625,3045.57470703125,1487.7435302734375,803.3176879882812,179.19703674316406,272.1186218261719,85.5,41.70000076293945,128.50494384765625,0.0,1194.6256103515625,58.0,29.0,0.0,,100.0,241.10000610351562,251.3000030517578,251.8000030517578,255.6999969482422,259.5,5075.5205078125,2623.294189453125,1206.3656005859375,578.3828735351562,-17.367563247680664,252.17999267578125,97.30000305175781,100.0,749.0399780273438,0.0,0.0005000000237487257,0.25,792.3263549804688,100.0,0.0,0.0,100.0,2003.8848876953125,239.36131286621094,249.6507110595703,252.74009704589844,258.0454406738281,261.994384765625,5060.455078125,2643.43994140625,1222.360595703125,589.9757080078125,-10.1798095703125,255.7696533203125,77.36738586425781,77.26713562011719,734.3111572265625,0.0,2.9999999242136255e-05,0.0625,,,,,,,,,,,,,,,,,,,,,,,,86.0,0.0,7620.0,0.0,0.0,256.0,90.0,100.0,100.0,100.0,100.0,76.0,77.0,78.0,82.0,1.0,0.0,247.57998657226562,246.5399932861328,89.0,2.0,37.20000076293945,41.0,0
2,-999.0,100.0,100.0,0.0,0.0,1339.84375,1339.708251953125,81000.0,83300.0,1818.4462890625,13.461265563964844,240.01425170898438,250.6394805908203,252.83749389648438,257.5696716308594,261.4621887207031,5056.81689453125,2634.880859375,1207.94921875,,-26.008880615234375,251.3418731689453,81.19999694824219,347.1038513183594,0.0,200.0,0.0,0.12700000405311584,19999.841796875,5.0,0.0,5.0,,24135.318359375,0.0,0.0,250.14208984375,269.3811950683594,278.2655944824219,273.95660400390625,272.254150390625,5605.916015625,3045.7763671875,1487.474853515625,802.6082153320312,178.9449005126953,271.93939208984375,84.0,43.099998474121094,119.47119140625,0.0,1194.4696044921875,68.0,0.0,0.0,,100.0,241.60000610351562,250.89999389648438,252.0,255.6999969482422,259.6000061035156,5067.431640625,2622.772216796875,1203.385009765625,575.2371215820312,-19.323312759399414,252.7899932861328,96.0999984741211,100.0,673.4400024414062,0.0,0.0006000000284984708,1.0625,792.3609619140625,100.0,0.0,0.0,100.0,1900.0,239.12722778320312,250.15460205078125,252.48341369628906,257.60125732421875,261.4722900390625,5056.44775390625,2639.123046875,1215.2039794921875,583.6412353515625,-16.489013671875,255.36293029785156,77.75249481201172,80.64986419677734,639.0475463867188,0.0,1.9999999494757503e-05,0.1875,,,,,,,,,,,,,,,,,,,,,,,,85.0,0.0,7620.0,0.0,0.0,256.0,100.0,100.0,100.0,100.0,100.0,80.0,80.0,81.0,89.0,0.0,0.0,248.01998901367188,246.66000366210938,91.0,1.0,36.400001525878906,40.20000076293945,0
3,-999.0,100.0,100.0,0.0,0.0,1339.78564453125,1339.6961669921875,82100.0,83400.0,1978.384521484375,14.072884559631348,240.22225952148438,250.87193298339844,252.52285766601562,257.2675476074219,261.1566467285156,5059.93359375,2636.5595703125,1211.1558837890625,,-23.012680053710938,251.00137329101562,80.80000305175781,347.95208740234375,0.0,200.0,0.0,0.15399999916553497,19999.8359375,5.0,0.0,5.0,,24135.14453125,0.0,0.0,250.05828857421875,269.2272033691406,278.18621826171875,274.2954406738281,272.0931396484375,5602.89111328125,3043.103759765625,1485.389404296875,799.8450927734375,176.07424926757812,271.8358459472656,82.69999694824219,44.400001525878906,72.35297393798828,0.0,1194.4903564453125,79.0,1.0,0.0,,100.0,241.0,252.10000610351562,251.3000030517578,255.3000030517578,259.1000061035156,5077.4833984375,2631.3974609375,1209.59619140625,582.6358642578125,-11.984906196594238,251.8000030517578,97.30000305175781,100.0,611.52001953125,0.0,0.00039999998989515007,1.875,792.2188110351562,100.0,0.0,0.0,100.0,4804.5205078125,239.31781005859375,250.1986541748047,252.28054809570312,257.2451477050781,261.1495361328125,5060.427734375,2641.17724609375,1218.1728515625,587.2657470703125,-13.306121826171875,255.0555419921875,78.22465515136719,81.29612731933594,580.8304443359375,0.0,9.999999747378752e-06,0.25,5061.2109375,2627.221435546875,1209.48388671875,578.6035766601562,-12.958984375,242.22547912597656,249.8737335205078,252.33335876464844,257.2402038574219,261.01177978515625,83.4565658569336,100.5223388671875,89.59132385253906,89.4945297241211,0.791473388671875,0.3756580352783203,0.43601512908935547,255.1180419921875,252.6734619140625,99828.625,89306.0078125,,2.226463794708252,87.0,0.0,7620.0,0.0,0.0,256.0,100.0,100.0,100.0,100.0,100.0,86.0,100.0,100.0,100.0,0.0,0.0,248.010009765625,247.1999969482422,93.0,2.0,34.400001525878906,38.70000076293945,0
4,-999.0,100.0,100.0,0.0,0.0,1339.67626953125,1339.5496826171875,81000.0,83400.0,2097.092041015625,13.129695892333984,240.80960083007812,250.385986328125,252.00750732421875,256.83807373046875,260.67584228515625,5062.07421875,2637.7001953125,1214.5994873046875,,-18.375457763671875,250.58139038085938,80.5999984741211,341.0331726074219,0.0,200.0,0.0,0.21699999272823334,20000.033203125,5.0,0.0,5.0,,24135.2421875,0.0,0.0,250.01727294921875,269.13458251953125,277.9738464355469,274.0361022949219,271.94720458984375,5601.05419921875,3041.141357421875,1483.988037109375,799.1063232421875,175.8718719482422,271.80023193359375,81.9000015258789,49.099998474121094,92.19042205810547,0.0,1194.6776123046875,76.0,0.0,0.0,,100.0,241.5,251.39999389648438,251.8000030517578,255.60000610351562,259.5,5071.876953125,2625.254150390625,1204.9990234375,577.0911865234375,-17.011249542236328,252.42999267578125,96.80000305175781,100.0,749.0399780273438,0.0,0.0003000000142492354,0.625,792.2326049804688,100.0,19.0,0.0,100.0,5604.5205078125,240.25611877441406,249.71844482421875,251.95301818847656,256.972412109375,260.8747863769531,5071.23095703125,2648.1171875,1226.91943359375,596.8842163085938,-3.319732666015625,255.1638641357422,79.9991455078125,83.0221939086914,591.6758422851562,0.0,1.9999999494757503e-05,0.3125,,,,,,,,,,,,,,,,,,,,,,,,90.0,0.0,7620.0,0.0,0.0,256.0,100.0,100.0,100.0,100.0,100.0,82.0,100.0,100.0,100.0,0.0,0.0,248.26998901367188,247.58999633789062,92.0,3.0,34.400001525878906,39.0,0
5,-999.0,100.0,100.0,0.0,0.0,1339.739990234375,1339.613037109375,81100.0,83500.0,1982.0897216796875,12.263937950134277,241.1148223876953,250.169921875,251.83523559570312,256.51214599609375,260.3833923339844,5070.33544921875,2644.04296875,1220.66748046875,,-10.78900146484375,250.67144775390625,80.5999984741211,358.3067932128906,0.0,100.0,0.0,0.3440000116825104,19999.73046875,5.0,0.0,5.0,,24134.916015625,0.0,0.0,250.03167724609375,268.9620056152344,277.78790283203125,274.24249267578125,271.8504943847656,5600.28857421875,3040.717041015625,1484.5340576171875,799.4281005859375,176.16680908203125,271.7434997558594,81.4000015258789,49.20000076293945,58.10786437988281,0.0,1194.6824951171875,81.0,0.0,0.0,,100.0,242.8000030517578,251.0,251.89999389648438,255.6999969482422,259.5,5078.9736328125,2627.422607421875,1207.2137451171875,579.1105346679688,-15.645312309265137,252.6699981689453,96.4000015258789,100.0,674.239990234375,0.0,0.0005000000237487257,1.375,792.3731689453125,100.0,9.0,0.0,100.0,2908.460205078125,240.9381866455078,249.1641845703125,251.4718475341797,256.6336669921875,260.4949645996094,5064.103515625,2639.094482421875,1218.9320068359375,590.014404296875,-9.51531982421875,255.20034790039062,82.1374282836914,81.89512634277344,602.4799194335938,0.0,5.999999848427251e-05,0.4375,,,,,,,,,,,,,,,,,,,,,,,,89.0,0.0,7620.0,0.0,0.0,256.0,100.0,100.0,100.0,100.0,100.0,84.0,100.0,100.0,100.0,1.0,0.0,248.39999389648438,247.260009765625,91.0,2.0,33.599998474121094,38.20000076293945,0
6,-999.0,100.0,100.0,0.0,0.0,1339.6666259765625,1339.5142822265625,81000.0,83400.0,2030.317138671875,13.278940200805664,242.25511169433594,250.63101196289062,251.6876983642578,256.2353515625,260.08953857421875,5070.7529296875,2637.450927734375,1212.76318359375,,-18.736968994140625,250.14077758789062,80.19999694824219,363.176513671875,0.0,100.0,0.0,0.46000000834465027,20000.064453125,5.0,0.0,4.800000190734863,,24134.806640625,0.0,0.0,249.92210388183594,268.8819885253906,277.5108642578125,274.07745361328125,271.74871826171875,5598.46923828125,3040.93994140625,1485.51513671875,800.8224487304688,177.93531799316406,271.6948547363281,81.0,49.20000076293945,57.307411193847656,0.0,1194.6522216796875,77.0,0.0,0.0,,100.0,243.0,251.60000610351562,251.5,255.3000030517578,259.1000061035156,5085.1044921875,2625.637939453125,1203.3140869140625,576.2783813476562,-18.012657165527344,252.13999938964844,96.5,100.0,673.52001953125,0.0,0.00039999998989515007,2.125,792.1486206054688,100.0,11.0,0.0,100.0,3700.0,241.61474609375,249.64219665527344,250.9757080078125,256.15277099609375,260.11041259765625,5073.17333984375,2642.81201171875,1221.205810546875,593.5226440429688,-6.5538330078125,254.4115753173828,80.20708465576172,80.95640563964844,564.9335327148438,0.0,3.9999998989515007e-05,0.625,5090.93359375,2643.24658203125,1216.779541015625,587.8299560546875,-2.361083984375,241.99789428710938,251.33355712890625,251.3357696533203,256.65411376953125,260.43853759765625,82.69640350341797,99.65470123291016,90.20464324951172,90.77600860595703,1.7127113342285156,0.5033407211303711,0.3186664581298828,254.92581176757812,252.296142578125,99949.6875,89405.546875,,2.5235509872436523,90.0,0.0,7620.0,0.0,0.0,256.0,100.0,100.0,100.0,100.0,100.0,81.0,100.0,100.0,100.0,1.0,0.0,248.5699920654297,247.33999633789062,90.0,3.0,32.79999923706055,37.310001373291016,0
7,-999.0,0.0,100.0,7.0,67.0,1339.521240234375,1339.4990234375,78000.0,83400.0,8031.68212890625,14.075139999389648,243.0570068359375,251.42706298828125,251.4039306640625,255.88809204101562,259.791748046875,5088.876953125,2648.078369140625,1220.78564453125,,-12.1387939453125,249.11932373046875,78.5,302.47943115234375,0.0,200.0,0.0,0.6200000047683716,20000.134765625,5.0,0.0,0.0,,24134.927734375,0.0,0.0,249.84124755859375,268.9410400390625,277.2181396484375,274.0284118652344,271.6695861816406,5598.89892578125,3042.455078125,1487.006103515625,802.7144165039062,179.98431396484375,271.6817626953125,80.19999694824219,47.5,62.4220085144043,0.0,1194.5709228515625,75.0,1.0,0.0,,100.0,244.39999389648438,252.3000030517578,251.3000030517578,255.10000610351562,259.0,5099.55615234375,2634.143310546875,1208.8597412109375,582.2130126953125,-11.500288963317871,252.0500030517578,96.4000015258789,100.0,612.0,0.0,0.00039999998989515007,0.6875,4056.13671875,100.0,77.0,0.0,100.0,4500.0,242.52500915527344,250.86459350585938,250.6468963623047,255.7164764404297,259.65924072265625,5090.462890625,2652.309814453125,1226.1407470703125,599.52197265625,-1.454132080078125,253.9888458251953,78.70814514160156,79.42314910888672,524.396240234375,0.0,3.9999998989515007e-05,0.75,,,,,,,,,,,,,,,,,,,,,,,,90.0,0.0,7620.0,0.0,0.0,256.0,100.0,100.0,100.0,100.0,100.0,74.0,79.0,81.0,88.0,1.0,0.0,248.64999389648438,247.489990234375,88.0,2.0,31.600000381469727,36.099998474121094,0
8,-999.0,0.0,100.0,0.0,86.0,1339.498046875,1339.359375,82300.0,83500.0,1781.870361328125,13.80605411529541,243.30674743652344,251.98594665527344,251.32846069335938,255.6492919921875,259.4462585449219,5097.1962890625,2653.02685546875,1222.677001953125,,-11.343765258789062,248.96826171875,78.69999694824219,305.3426208496094,0.0,200.0,0.0,0.7200000286102295,19999.955078125,5.0,0.0,0.0,,24134.822265625,0.0,0.0,249.76177978515625,269.05450439453125,276.9116516113281,274.5230712890625,271.68646240234375,5599.689453125,3043.915283203125,1488.97998046875,804.2818603515625,180.99562072753906,271.9277648925781,77.9000015258789,41.79999923706055,60.81602096557617,0.0,1194.7054443359375,68.0,1.0,0.0,,100.0,245.60000610351562,253.1999969482422,251.10000610351562,254.89999389648438,258.70001220703125,5110.654296875,2642.9609375,1214.330078125,588.239013671875,-5.393312454223633,251.92999267578125,96.4000015258789,100.0,557.0399780273438,0.0,0.00039999998989515007,1.4375,930.662353515625,100.0,19.0,84.0,100.0,13100.0,243.1434783935547,252.33843994140625,250.52651977539062,255.3091583251953,259.267822265625,5097.6943359375,2654.83935546875,1222.891357421875,597.1712646484375,-5.08563232421875,253.60400390625,79.30586242675781,79.84928894042969,496.63385009765625,0.0,9.999999747378752e-06,0.875,,,,,,,,,,,,,,,,,,,,,,,,90.0,0.0,7620.0,0.0,0.0,209.0,100.0,100.0,100.0,100.0,100.0,68.0,71.0,73.0,78.0,1.0,0.0,248.97998046875,247.7799835205078,90.0,2.0,30.399999618530273,34.900001525878906,0
9,-999.0,0.0,100.0,0.0,2.0,1339.59423828125,1339.4571533203125,82400.0,83600.0,1690.515380859375,13.034860610961914,243.8898162841797,252.38429260253906,251.7808074951172,255.81375122070312,259.6513671875,5110.8779296875,2663.966796875,1230.122802734375,,-5.5146331787109375,249.26878356933594,79.30000305175781,308.4713439941406,0.0,100.0,0.0,0.75,20000.14453125,4.900000095367432,0.0,0.0,,24134.9765625,0.0,0.0,249.7069091796875,268.9988708496094,276.8226623535156,274.20819091796875,272.5146179199219,5603.1376953125,3048.26318359375,1492.8502197265625,808.6065673828125,185.705810546875,273.41876220703125,69.5,42.900001525878906,171.04747009277344,138.72000122070312,1194.553955078125,63.0,0.0,0.0,,100.0,246.10000610351562,253.39999389648438,250.6999969482422,254.60000610351562,258.3999938964844,5119.03857421875,2650.23876953125,1218.72265625,593.5237426757812,0.29771876335144043,251.52999877929688,96.5999984741211,100.0,507.9200134277344,0.0,0.00039999998989515007,2.0625,821.0306396484375,100.0,0.0,57.0,100.0,16300.0,243.45494079589844,252.39300537109375,251.00271606445312,255.06883239746094,258.9534606933594,5106.7734375,2662.98388671875,1227.846923828125,602.087646484375,-1.2725830078125,253.019775390625,76.61386108398438,79.9107666015625,433.6109924316406,0.0,0.0,0.875,5124.1796875,2665.44189453125,1229.13818359375,600.6865844726562,11.54931640625,243.93682861328125,253.4253387451172,251.4943389892578,256.1573791503906,260.009765625,74.49994659423828,99.18526458740234,90.41880798339844,90.39384460449219,1.227518081665039,0.7311868667602539,0.42009449005126953,254.3158721923828,251.55929565429688,100147.125,89566.4140625,,2.709629535675049,84.0,0.0,7620.0,0.0,0.0,209.0,100.0,100.0,100.0,100.0,100.0,68.0,70.0,70.0,74.0,0.0,0.0,248.89999389648438,247.72000122070312,90.0,2.0,28.799999237060547,32.900001525878906,0
10,-999.0,0.0,100.0,0.0,3.0,1339.5777587890625,1339.444580078125,83100.0,83600.0,1521.4456787109375,13.356769561767578,243.84100341796875,252.87757873535156,252.57325744628906,256.40533447265625,260.219970703125,5117.982421875,2668.189697265625,1230.873046875,,-7.235107421875,249.68357849121094,78.4000015258789,303.3568115234375,0.0,400.0,0.0,0.7599999904632568,20000.140625,0.0,0.0,0.0,,24135.150390625,0.0,0.0,249.93722534179688,268.9270324707031,276.9072570800781,274.5810241699219,273.84613037109375,5607.1640625,3051.314208984375,1495.228271484375,810.4613037109375,186.65721130371094,275.2686462402344,61.29999923706055,39.5,282.96319580078125,254.55999755859375,1194.6158447265625,56.0,0.0,0.0,,0.0,245.89999389648438,253.6999969482422,250.60000610351562,254.60000610351562,258.3999938964844,5127.40771484375,2659.621826171875,1225.7662353515625,600.6477661132812,7.000531196594238,251.55999755859375,96.5999984741211,100.0,375.3599853515625,0.0,0.0003000000142492354,0.5625,792.042724609375,100.0,8.0,30.0,100.0,12900.0,243.8165740966797,252.5880126953125,251.87893676757812,255.0359344482422,258.8540954589844,5119.31982421875,2672.351318359375,1233.578369140625,606.8858032226562,3.800018310546875,252.397705078125,73.28412628173828,80.37152862548828,393.20635986328125,0.0,0.0,0.875,,,,,,,,,,,,,,,,,,,,,,,,73.0,0.0,7620.0,0.0,0.0,209.0,58.0,62.0,64.0,64.0,64.0,63.0,64.0,64.0,64.0,0.0,0.0,249.25,247.75,89.0,2.0,27.600000381469727,30.899999618530273,0
