valid_utc,model_valid_utc,target_lead_h,split,is_undercast,year,month,hour_utc,lead_hrrr,meta_init_hrrr,lead_gfs,meta_init_gfs,lead_nam,meta_init_nam,lead_rap,meta_init_rap,lead_ecmwf,meta_init_ecmwf,lead_nbm,meta_init_nbm,cloud_top_hrrr,boundary_layer_cloud_layer_hrrr,low_cloud_layer_percent_hrrr,middle_cloud_layer_percent_hrrr,high_cloud_layer_percent_hrrr,cloud_ceiling_m_hrrr,cloud_base_m_hrrr,cloud_top_pres_hrrr,cloud_base_pres_hrrr,cloud_top_hgt_hrrr,wind_10m_day_max_hrrr,tmp_500mb_hrrr,tmp_700mb_hrrr,tmp_850mb_hrrr,tmp_925mb_hrrr,tmp_1000mb_hrrr,hgt_500mb_hrrr,hgt_700mb_hrrr,hgt_850mb_hrrr,hgt_1000mb_hrrr,tmp_2m_hrrr,rh_2m_hrrr,hpbl_surface_hrrr,hgt_0C_iso_hrrr,vis_surface_hrrr,prate_surface_hrrr,apcp_surface_hrrr,cloud_ceiling_gfs,low_cloud_layer_percent_gfs,middle_cloud_layer_percent_gfs,high_cloud_layer_percent_gfs,boundary_layer_cloud_layer_gfs,vis_surface_gfs,prate_surface_gfs,apcp_surface_gfs,tmp_500mb_gfs,tmp_700mb_gfs,tmp_850mb_gfs,tmp_925mb_gfs,tmp_1000mb_gfs,hgt_500mb_gfs,hgt_700mb_gfs,hgt_850mb_gfs,hgt_925mb_gfs,hgt_1000mb_gfs,tmp_2m_gfs,rh_2m_gfs,rh_925mb_gfs,hpbl_surface_gfs,hgt_0C_iso_gfs,cloud_ceiling_nam,low_cloud_layer_percent_nam,middle_cloud_layer_percent_nam,high_cloud_layer_percent_nam,vis_surface_nam,tmp_500mb_nam,tmp_700mb_nam,tmp_850mb_nam,tmp_925mb_nam,tmp_1000mb_nam,hgt_500mb_nam,hgt_700mb_nam,hgt_850mb_nam,hgt_925mb_nam,hgt_1000mb_nam,tmp_2m_nam,rh_2m_nam,rh_925mb_nam,hpbl_surface_nam,hgt_0C_iso_nam,prate_surface_nam,apcp_surface_nam,cloud_ceiling_m_rap,low_cloud_layer_percent_rap,middle_cloud_layer_percent_rap,high_cloud_layer_percent_rap,boundary_layer_cloud_layer_rap,vis_surface_rap,tmp_500mb_rap,tmp_700mb_rap,tmp_850mb_rap,tmp_925mb_rap,tmp_1000mb_rap,hgt_500mb_rap,hgt_700mb_rap,hgt_850mb_rap,hgt_925mb_rap,hgt_1000mb_rap,tmp_2m_rap,rh_2m_rap,rh_925mb_rap,hpbl_surface_rap,hgt_0C_iso_rap,prate_surface_rap,apcp_surface_rap,hgt_500mb_ecmwf,hgt_700mb_ecmwf,hgt_850mb_ecmwf,hgt_925mb_ecmwf,hgt_1000mb_ecmwf,tmp_500mb_ecmwf,tmp_700mb_ecmwf,tmp_850mb_ecmwf,tmp_925mb_ecmwf,tmp_1000mb_ecmwf,rh_700mb_ecmwf,rh_850mb_ecmwf,rh_925mb_ecmwf,rh_1000mb_ecmwf,vvel_700mb_ecmwf,vvel_850mb_ecmwf,vvel_925mb_ecmwf,tmp_2m_ecmwf,dpt_2m_ecmwf,mslp_ecmwf,sp_surface_ecmwf,cape_ecmwf,tcwv_ecmwf,tcdc_surface_nbm,tcdc_high_cloud_nbm,cdcb_high_cloud_nbm,cloud_ceiling_m_nbm,cloud_base_m_nbm,vis_surface_nbm,ceil_prob_below_152m_nbm,ceil_prob_below_305m_nbm,ceil_prob_below_610m_nbm,ceil_prob_below_914m_nbm,ceil_prob_below_2012m_nbm,vis_prob_below_1609m_nbm,vis_prob_below_3219m_nbm,vis_prob_below_4828m_nbm,vis_prob_below_8047m_nbm,cape_surface_nbm,mixing_height_nbm,tmp_2m_nbm,dpt_2m_nbm,rh_2m_nbm,apcp_surface_nbm,wind_10m_nbm,gust_surface_nbm
2014-09-08T12:54,2014-09-08T13:00,24,train,0,2014,9,12,15,2014-09-07T22:00,,,,,,,,,,,-999.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,1.6695661544799805,260.4551696777344,273.5477294921875,280.74334716796875,285.71435546875,290.2136535644531,5798.99072265625,3161.775390625,1586.0289306640625,221.31524658203125,284.6985778808594,,507.0625,,18600.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-08T12:54,2014-09-08T13:00,48,train,0,2014,9,12,15,2014-09-07T22:00,,,,,,,,,,,-999.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,1.6695661544799805,260.4551696777344,273.5477294921875,280.74334716796875,285.71435546875,290.2136535644531,5798.99072265625,3161.775390625,1586.0289306640625,221.31524658203125,284.6985778808594,,507.0625,,18600.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-08T12:54,2014-09-08T13:00,1,train,0,2014,9,12,1,2014-09-08T12:00,,,,,,,,,,,-999.0,1.125,1.125,0.0,0.0,nan,nan,nan,nan,nan,3.8785104751586914,261.4237365722656,273.89111328125,279.927978515625,284.5747985839844,288.949462890625,5808.41064453125,3164.69091796875,1589.94287109375,228.96209716796875,283.09246826171875,,367.6875,,14800.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-18T11:47,2014-09-18T12:00,24,train,0,2014,9,11,15,2014-09-17T21:00,,,,,,,,,,,-999.0,6.75,6.75,0.25,0.0,nan,nan,nan,nan,nan,10.103405952453613,254.6816864013672,270.28985595703125,278.97003173828125,282.11309814453125,286.28778076171875,5601.578125,3015.05908203125,1450.0299072265625,101.42164611816406,279.36407470703125,,126.375,,10500.0,0.0,0.05999999865889549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-18T11:47,2014-09-18T12:00,48,train,0,2014,9,11,15,2014-09-17T21:00,,,,,,,,,,,-999.0,6.75,6.75,0.25,0.0,nan,nan,nan,nan,nan,10.103405952453613,254.6816864013672,270.28985595703125,278.97003173828125,282.11309814453125,286.28778076171875,5601.578125,3015.05908203125,1450.0299072265625,101.42164611816406,279.36407470703125,,126.375,,10500.0,0.0,0.05999999865889549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-18T11:47,2014-09-18T12:00,1,train,0,2014,9,11,1,2014-09-18T11:00,,,,,,,,,,,-999.0,18.625,18.625,0.0,0.0,1292.1568603515625,nan,nan,nan,nan,11.577156066894531,255.26126098632812,270.4175109863281,278.1609191894531,281.38189697265625,285.468994140625,5606.0966796875,3017.42236328125,1453.977294921875,108.19050598144531,278.31915283203125,,125.0,,8400.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-29T22:49,2014-09-29T23:00,24,train,0,2014,9,22,15,2014-09-29T08:00,,,,,,,,,,,-999.0,67.375,0.25,13.125,67.375,9556.5693359375,5020.34326171875,22700.0,54900.0,11827.0009765625,5.19702672958374,259.3229675292969,276.84576416015625,283.6119384765625,287.9886779785156,292.3551025390625,5732.99609375,3090.58740234375,1495.284423828125,114.391357421875,284.4708557128906,,262.25,,9200.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-13T23:48,2014-10-14T00:00,1,train,0,2014,10,23,1,2014-10-13T23:00,,,,,,,,,,,-999.0,3.625,3.625,0.0,0.0,nan,nan,nan,nan,nan,9.089829444885254,260.702880859375,276.1630554199219,282.78338623046875,284.8104248046875,288.68634033203125,5788.8408203125,3141.712890625,1545.9970703125,178.2284698486328,282.4461975097656,,0.0,,10400.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-29T22:49,2014-09-29T23:00,48,train,0,2014,9,22,15,2014-09-29T08:00,,,,,,,,,,,-999.0,67.375,0.25,13.125,67.375,9556.5693359375,5020.34326171875,22700.0,54900.0,11827.0009765625,5.19702672958374,259.3229675292969,276.84576416015625,283.6119384765625,287.9886779785156,292.3551025390625,5732.99609375,3090.58740234375,1495.284423828125,114.391357421875,284.4708557128906,,262.25,,9200.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-13T23:48,2014-10-14T00:00,48,train,0,2014,10,23,15,2014-10-13T09:00,,,,,,,,,,,-999.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,7.533558368682861,260.2493591308594,276.14117431640625,282.716552734375,286.283935546875,290.30712890625,5789.93896484375,3142.4541015625,1550.5260009765625,178.30258178710938,283.34149169921875,,0.0,,16600.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
